version,type,iTrial,display_height,PairID,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle
1,1,1,0.0169975307771194,73,1,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,1,2,0.0452696851132967,52,1,0.833333333333333,0.333333333333333,0.5,0,0.5,0.5,0.5,0.5
1,1,3,0.744610596316608,89,1,1,0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,1,4,0.677186541931019,71,1,0.5,1,1,0.333333333333333,0.5,0.5,0.5,0.5
1,1,5,0.350391761560143,12,-1,1,0.666666666666667,0,0.833333333333333,0.5,0.5,0.5,0.5
1,1,6,0.0563391860295613,69,1,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.5,0.5,0.5
1,1,7,0.475161275587018,42,-1,0,0.833333333333333,0.166666666666667,0.5,0.5,0.5,0.5,0.5
1,1,8,0.7911771217671,3,-1,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,1,9,0.0277574085608862,71,1,0.5,1,1,0.333333333333333,0.5,0.5,0.5,0.5
1,1,10,0.590267547324047,80,1,0.666666666666667,1,0.5,0.666666666666667,0.5,0.5,0.5,0.5
1,1,11,0.0823512200951102,63,1,0.666666666666667,0.666666666666667,0,1,0.5,0.5,0.5,0.5
1,1,12,0.943887526353982,38,-1,0.333333333333333,0.333333333333333,0.5,1,0.5,0.5,0.5,0.5
1,1,13,0.172330048003106,59,1,0.833333333333333,0.666666666666667,1,0.666666666666667,0.5,0.5,0.5,0.5
1,1,14,0.77879164232163,1,-1,0.666666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,1,15,0.955473368190494,95,1,0.666666666666667,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.5,0.5
1,1,16,0.4871602723344,64,1,0.166666666666667,1,0.833333333333333,0.166666666666667,0.5,0.5,0.5,0.5
1,1,17,0.0189828733255628,52,1,0.833333333333333,0.333333333333333,0.5,0,0.5,0.5,0.5,0.5
1,1,18,0.318689799709745,47,-1,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0.5,0.5
1,1,19,0.468844913098809,55,1,1,0,0.666666666666667,0,0.5,0.5,0.5,0.5
1,1,20,0.761386130418706,34,-1,0.833333333333333,0.833333333333333,0.833333333333333,0,0.5,0.5,0.5,0.5
1,1,21,0.833406302460513,11,-1,0.333333333333333,0.833333333333333,1,0.5,0.5,0.5,0.5,0.5
1,1,22,0.846975955858468,24,-1,1,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5
1,1,23,0.578450068098504,95,1,0.666666666666667,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.5,0.5
1,1,24,0.66741600454749,23,-1,0.5,0.666666666666667,0.5,0.833333333333333,0.5,0.5,0.5,0.5
1,1,25,0.218337467647558,41,-1,1,0.166666666666667,0.333333333333333,0,0.5,0.5,0.5,0.5
1,1,26,0.313289131387529,31,-1,0,1,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5
1,1,27,0.48474788413031,7,-1,0.5,0.5,0.5,0.333333333333333,0.5,0.5,0.5,0.5
1,1,28,0.813126007153861,54,1,0.666666666666667,0.5,0.833333333333333,0,0.5,0.5,0.5,0.5
1,1,29,0.171696777973788,78,1,0.166666666666667,0.5,0.333333333333333,1,0.5,0.5,0.5,0.5
1,1,30,0.390284510739813,88,1,0.166666666666667,0.833333333333333,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5
1,1,31,0.227150714008297,24,-1,1,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5
1,1,32,0.0685237433194126,51,1,0.333333333333333,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5
1,1,33,0.63223136659616,82,1,0.166666666666667,0,0,0.666666666666667,0.5,0.5,0.5,0.5
1,1,34,0.443022766453433,90,1,0.5,0.666666666666667,1,0.166666666666667,0.5,0.5,0.5,0.5
1,1,35,0.987626575816833,67,1,0.333333333333333,0.833333333333333,1,0.333333333333333,0.5,0.5,0.5,0.5
1,1,36,0.868631364209967,44,-1,0.833333333333333,0.666666666666667,0.666666666666667,1,0.5,0.5,0.5,0.5
1,1,37,0.968851489392636,30,-1,0.666666666666667,0,0.333333333333333,0,0.5,0.5,0.5,0.5
1,1,38,0.105925229084791,31,-1,0,1,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5
1,1,39,0.434177742488294,26,-1,0.666666666666667,1,1,0.5,0.5,0.5,0.5,0.5
1,1,40,0.162970910789906,5,-1,1,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5
1,1,41,0.443360287329266,94,1,0,0.333333333333333,0.333333333333333,0,0.5,0.5,0.5,0.5
1,1,42,0.585361755549085,13,-1,0.166666666666667,0,0.833333333333333,0.833333333333333,0.5,0.5,0.5,0.5
1,1,43,0.828668350420787,14,-1,0,1,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5
1,1,44,0.789265116749254,73,1,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,1,45,0.502949939336486,62,1,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5
1,1,46,0.706516141924652,96,1,0.166666666666667,0.5,0.166666666666667,0.5,0.5,0.5,0.5,0.5
1,1,47,0.428979600134517,80,1,0.666666666666667,1,0.5,0.666666666666667,0.5,0.5,0.5,0.5
1,1,48,0.3106610915707,96,1,0.166666666666667,0.5,0.166666666666667,0.5,0.5,0.5,0.5,0.5
1,1,49,0.601586903259762,11,-1,0.333333333333333,0.833333333333333,1,0.5,0.5,0.5,0.5,0.5
1,1,50,0.974148343126767,65,1,0.833333333333333,0.666666666666667,0,0,0.5,0.5,0.5,0.5
1,1,51,0.211258255482076,70,1,0,0.333333333333333,0.5,0.833333333333333,0.5,0.5,0.5,0.5
1,1,52,0.0415459940723817,22,-1,0.833333333333333,0.5,0.5,0.666666666666667,0.5,0.5,0.5,0.5
1,1,53,0.915095860901295,12,-1,1,0.666666666666667,0,0.833333333333333,0.5,0.5,0.5,0.5
1,1,54,0.931463762595597,40,-1,0.5,0.833333333333333,0.166666666666667,0,0.5,0.5,0.5,0.5
1,1,55,0.251776617384125,53,1,0.666666666666667,0.666666666666667,0.666666666666667,0,0.5,0.5,0.5,0.5
1,1,56,0.793654441295972,60,1,0.666666666666667,0.333333333333333,0,0.166666666666667,0.5,0.5,0.5,0.5
1,1,57,0.642484843226224,76,1,0,0,0.5,0.666666666666667,0.5,0.5,0.5,0.5
1,1,58,0.0892051332339647,4,-1,1,0,1,0.5,0.5,0.5,0.5,0.5
1,1,59,0.622875812154074,67,1,0.333333333333333,0.833333333333333,1,0.333333333333333,0.5,0.5,0.5,0.5
1,1,60,0.814795537060114,37,-1,1,0.166666666666667,0.666666666666667,0,0.5,0.5,0.5,0.5
1,1,61,0.174968267957634,88,1,0.166666666666667,0.833333333333333,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5
