iSession,iTrial,text,A,b,n_constraints,matched_rules,un_pro
1,1,脖子比较长，尾巴比较短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5]",2,"['general_case', 'general_case']",[]
1,2,脖子、尾巴长度适中，头特别短，腿比较长。,"[[1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0]]","[0.25, -0.75, 0.25, -0.75, -0.5, 0.5]",6,"['general_case', 'general_case', 'general_case']",[]
1,3,腿特别短，头特别长。,"[[0.0, 0.0, -1.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[-0.5, 0.5]",2,"['general_case', 'general_case']",[]
1,4,脖子比较长，尾巴比较短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5]",2,"['general_case', 'general_case']",[]
1,5,尾巴比较长，脖子比较短，尾巴比脖子长，腿比较长。,"[[0.0, 0.0, 0.0, 1.0], [-1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0]]","[0.5, -0.5, 0.0, 0.5]",4,"['general_case', 'general_case', 'comparison', 'general_case']",[]
1,6,脖子比较短，尾巴比脖子长，腿比较长。,"[[-1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0]]","[-0.5, 0.0, 0.5]",3,"['general_case', 'comparison', 'general_case']",[]
1,7,腿比较短，头、脖子、尾巴长度中等。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, 0.25, -0.75, 0.25, -0.75, 0.25, -0.75]",7,"['general_case', 'general_case']",[]
1,8,脖子比较长，尾巴比较短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5]",2,"['general_case', 'general_case']",[]
1,9,腿比较短，头比较长，脖子比较短，尾巴比较短。,"[[0.0, 0.0, -1.0, 0.0], [0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, 0.5, -0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,10,腿比较短，尾巴比较短，脖子比尾巴长。,"[[0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5, 0.0]",3,"['general_case', 'general_case', 'comparison']",[]
1,11,腿短，脖子、尾巴长。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[-0.5, 0.5, 0.5]",3,"['general_case', 'general_case']",[]
1,18,腿中等，脖子中等，尾巴中等，头比较短。,"[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0], [0.0, -1.0, 0.0, 0.0]]","[0.25, -0.75, 0.25, -0.75, 0.25, -0.75, -0.5]",7,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,19,腿比较短，脖子比较长，尾巴比较短。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, 0.5, -0.5]",3,"['general_case', 'general_case', 'general_case']",[]
1,20,腿比较长，尾巴比较长，脖子比较短，头比较长。,"[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[0.5, 0.5, -0.5, 0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,21,腿比较短，脖子比较短，尾巴比较长。,"[[0.0, 0.0, -1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[-0.5, -0.5, 0.5]",3,"['general_case', 'general_case', 'general_case']",[]
1,22,腿比较短，脖子比较短，头比较长。,"[[0.0, 0.0, -1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[-0.5, -0.5, 0.5]",3,"['general_case', 'general_case', 'general_case']",[]
