version,condition,structure1,structure2,iSession,iBlock,iTrial,stiID,category,ambigous,choice,presskey,feedback,choRT,recDU
1,2,2,5,1,1,1,4,1,0,4,1,0,5.787,2.686
1,2,2,5,1,1,2,25,4,0,4,1,1,16.242,5.23
1,2,2,5,1,1,3,32,4,0,3,2,0,6.599,0.189
1,2,2,5,1,1,4,14,3,0,3,2,1,8.872,2.862
1,2,2,5,1,1,5,3,1,0,1,3,1,7.003,2.638
1,2,2,5,1,1,6,5,1,0,2,4,0,11.245,2.223
1,2,2,5,1,1,7,49,2,0,1,3,0,20.121,3.663
1,2,2,5,1,1,8,16,3,1,2,4,0,18.445,3.182
1,2,2,5,1,1,9,17,1,0,4,1,0,5.41,2.942
1,2,2,5,1,1,10,60,4,0,4,1,1,23.203,4.255
1,2,2,5,1,1,11,6,1,0,4,1,0,16.461,7.966
1,2,2,5,1,1,12,63,4,1,1,3,0,20.069,4.318
1,2,2,5,1,1,13,45,3,0,3,2,1,26.771,3.263
1,2,2,5,1,1,14,46,3,1,1,3,0,15.467,2.431
1,2,2,5,1,1,15,22,1,0,1,3,1,27.729,4.174
1,2,2,5,1,1,16,11,3,1,3,2,1,16.363,5.918
1,2,2,5,1,1,17,57,4,0,4,1,1,16.83,0.343
1,2,2,5,1,1,18,59,4,0,2,4,0,11.049,4.847
1,2,2,5,1,1,19,10,3,0,1,3,0,7.547,3.711
1,2,2,5,1,1,20,61,4,1,1,3,0,26.187,4.302
1,2,2,5,1,1,21,44,3,0,3,2,1,16.099,4.703
1,2,2,5,1,1,22,29,4,0,1,3,0,11.735,6.175
1,2,2,5,1,1,23,12,3,0,2,4,0,9.939,3.022
1,2,2,5,1,1,24,36,2,1,4,1,0,20.053,3.086
1,2,2,5,1,1,25,20,1,0,1,3,1,18.212,8.206
1,2,2,5,1,1,26,55,2,0,1,3,0,18.851,6.334
1,2,2,5,1,1,27,62,4,0,3,2,0,26.519,3.39
1,2,2,5,1,1,28,42,3,0,4,1,0,23.604,4.862
1,2,2,5,1,1,29,1,1,0,4,1,0,9.63,3.615
1,2,2,5,1,1,30,13,3,1,3,2,1,42.386,5.55
1,2,2,5,1,1,31,43,3,0,1,3,0,18.132,5.407
1,2,2,5,1,1,32,50,2,0,1,3,0,20.256,4.574
1,2,2,5,1,1,33,19,1,1,2,4,0,17.429,2.366
1,2,2,5,1,1,34,7,1,0,4,1,0,33.608,4.815
1,2,2,5,1,1,35,9,3,0,1,3,0,18.53,7.55
1,2,2,5,1,1,36,40,2,1,2,4,1,24.959,2.974
1,2,2,5,1,1,37,18,1,0,1,3,1,31.337,4.159
1,2,2,5,1,1,38,37,2,0,1,3,0,29.27,3.982
1,2,2,5,1,1,39,53,2,0,3,2,0,32.369,5.406
1,2,2,5,1,1,40,15,3,0,1,3,0,20.962,5.39
1,2,2,5,1,1,41,47,3,0,2,4,0,18.941,5.774
1,2,2,5,1,1,42,54,2,0,1,3,0,31,4.238
1,2,2,5,1,1,43,52,2,0,2,4,1,18.516,3.886
1,2,2,5,1,1,44,41,3,0,2,4,0,22.694,4.382
1,2,2,5,1,1,45,21,1,0,1,3,1,4.881,6.639
1,2,2,5,1,1,46,2,1,1,3,2,0,22.763,3.023
1,2,2,5,1,1,47,30,4,0,1,3,0,14.717,3.486
1,2,2,5,1,1,48,26,4,0,4,1,1,31.871,4.014
1,2,2,5,1,1,49,56,2,0,4,1,0,8.462,3.854
1,2,2,5,1,1,50,23,1,0,3,2,0,15.237,3.566
1,2,2,5,1,1,51,51,2,0,1,3,0,7.068,5.615
1,2,2,5,1,1,52,28,4,0,3,2,0,10.513,4.591
1,2,2,5,1,1,53,8,1,0,1,3,1,14.303,3.887
1,2,2,5,1,1,54,64,4,0,3,2,0,26.708,3.327
1,2,2,5,1,1,55,35,2,0,1,3,0,18.732,4.847
1,2,2,5,1,1,56,31,4,0,4,1,1,10.862,5.902
1,2,2,5,1,1,57,34,2,0,1,3,0,13.13,3.823
1,2,2,5,1,1,58,48,3,1,2,4,0,22.434,5.63
1,2,2,5,1,1,59,38,2,0,1,3,0,15.861,4.286
1,2,2,5,1,1,60,27,4,0,3,2,0,13.387,5.455
1,2,2,5,1,1,61,39,2,0,4,1,0,7.386,5.422
1,2,2,5,1,1,62,58,4,1,4,1,1,16.393,4.222
1,2,2,5,1,1,63,24,1,1,2,4,0,10.942,1.998
1,2,2,5,1,1,64,33,2,0,4,1,0,21.275,6.27
1,2,2,5,1,2,65,109,3,0,3,2,1,22.788,3.662
1,2,2,5,1,2,66,99,2,0,3,2,0,50.41,5.214
1,2,2,5,1,2,67,105,3,0,3,2,1,12.788,8.798
1,2,2,5,1,2,68,78,3,1,1,3,0,19.451,2.895
1,2,2,5,1,2,69,104,3,0,3,2,1,22.168,4.271
1,2,2,5,1,2,70,88,1,0,4,1,0,33.86,5.902
1,2,2,5,1,2,71,68,1,0,1,3,1,34.812,3.005
1,2,2,5,1,2,72,73,3,0,4,1,0,20.34,5.566
1,2,2,5,1,2,73,91,4,0,2,4,0,10.917,5.47
1,2,2,5,1,2,74,112,2,0,4,1,0,14.363,4.062
1,2,2,5,1,2,75,100,2,0,2,4,1,15.308,5.854
1,2,2,5,1,2,76,79,3,1,4,1,0,50.782,2.783
1,2,2,5,1,2,77,75,3,0,1,3,0,18.734,0.174
1,2,2,5,1,2,78,106,3,0,2,4,0,33.17,8.142
1,2,2,5,1,2,79,69,1,1,4,1,0,16.581,2.35
1,2,2,5,1,2,80,86,1,0,3,2,0,13.638,5.262
1,2,2,5,1,2,81,81,1,0,1,3,1,20.441,5.15
1,2,2,5,1,2,82,114,2,0,3,2,0,12.117,11.79
1,2,2,5,1,2,83,71,1,1,2,4,0,22.024,6.014
1,2,2,5,1,2,84,127,4,0,4,1,1,10.604,3.311
1,2,2,5,1,2,85,125,4,0,4,1,1,5.673,3.103
1,2,2,5,1,2,86,85,1,1,3,2,0,22.737,5.102
1,2,2,5,1,2,87,110,3,0,4,1,0,10.657,2.958
1,2,2,5,1,2,88,74,3,0,3,2,1,2.719,5.135
1,2,2,5,1,2,89,89,4,1,3,2,0,9.561,3.999
1,2,2,5,1,2,90,87,1,0,3,2,0,7.794,2.895
1,2,2,5,1,2,91,115,2,1,1,3,0,16.633,3.566
1,2,2,5,1,2,92,76,3,0,2,4,0,9.958,3.294
1,2,2,5,1,2,93,83,1,1,1,3,1,17.019,3.054
1,2,2,5,1,2,94,97,2,0,2,4,1,11.995,4.527
1,2,2,5,1,2,95,94,4,1,4,1,1,28.749,2.03
1,2,2,5,1,2,96,80,3,1,3,2,1,8.941,2.255
