iSession,stiID,body_ori,feature1_name,feature2_name,feature3_name,feature4_name,feature1,feature2,feature3,feature4,category,ambiguous_fam,ambiguous_spe
1,1,-1,neck,leg,head,tail,0.378699649292478,0.468822307309732,0.299921417746829,0.83731886335448,1,0,1
1,2,-1,neck,leg,head,tail,0.234983581798216,0.266245206787409,0.124825942170107,0.578373949987007,1,0,0
1,3,-1,neck,leg,head,tail,0.096364132118865,0.13305666381682,0.311222249260126,0.209016057460863,1,0,0
1,4,1,neck,leg,head,tail,0.178355274254643,0.305385169384822,0.194372907180335,0.521937147254671,1,0,0
1,5,-1,neck,leg,head,tail,0.423268154430635,0.0327612021624553,0.318563956789732,0.444689646378246,1,0,0
1,6,1,neck,leg,head,tail,0.127041742165567,0.128603278676073,0.0242281027638996,0.936220304594644,1,0,0
1,7,-1,neck,leg,head,tail,0.287027785234465,0.139241946450364,0.119326122714404,0.206938677765766,1,0,0
1,8,-1,neck,leg,head,tail,0.353805051512778,0.104052469370508,0.0657919411395939,0.953659409963373,1,0,0
1,9,1,neck,leg,head,tail,0.792213490601793,0.0503616851627182,0.487365979201677,0.860247338507944,3,0,1
1,10,-1,neck,leg,head,tail,0.732785126973832,0.439172140500266,0.355750609079548,0.0185906772445407,3,0,0
1,11,-1,neck,leg,head,tail,0.613980696771865,0.108934728704762,0.42641486468143,0.026137309206039,3,0,0
1,12,1,neck,leg,head,tail,0.542919794303978,0.368752692952005,0.1272975679679,0.680052056139017,3,1,1
1,13,1,neck,leg,head,tail,0.916575234831452,0.202522122679826,0.344437463616554,0.71696476021664,3,0,0
1,14,1,neck,leg,head,tail,0.830718670583329,0.230420143186109,0.0514929021634748,0.854925485224282,3,0,0
1,15,-1,neck,leg,head,tail,0.700250680742883,0.298068954279529,0.295484981378807,0.0236816364657179,3,0,0
1,16,1,neck,leg,head,tail,0.54191156804254,0.469175313637896,0.200535168998763,0.136789628542904,3,1,1
1,17,-1,neck,leg,head,tail,0.344848194698512,0.169278233712636,0.956148157713184,0.417916298832257,1,0,0
1,18,-1,neck,leg,head,tail,0.224886508055719,0.154916057003638,0.545982244161771,0.0535924948669725,1,0,1
1,19,-1,neck,leg,head,tail,0.450675925748286,0.115701078911711,0.793421095018294,0.572788122320989,1,1,1
1,20,1,neck,leg,head,tail,0.204028181958022,0.223886392178497,0.882828462765596,0.117604139349784,1,0,0
1,21,1,neck,leg,head,tail,0.429755856938949,0.468808038571828,0.92660253166159,0.841966695164725,1,0,1
1,22,1,neck,leg,head,tail,0.292499359470934,0.265917766094796,0.620700967463668,0.896558413553843,1,0,0
1,23,-1,neck,leg,head,tail,0.413332893879695,0.412158733480993,0.822112479547585,0.227576710123426,1,0,0
1,24,-1,neck,leg,head,tail,0.34170310855164,0.49717451501057,0.684789113261428,0.694549618033052,1,0,1
1,25,-1,neck,leg,head,tail,0.594980850906777,0.261065589166701,0.789669504075806,0.819699608015169,4,0,0
1,26,-1,neck,leg,head,tail,0.502518585128491,0.355465618776824,0.923492429844036,0.278909684902311,4,1,1
1,27,1,neck,leg,head,tail,0.650987045967657,0.135455996192634,0.617791232556513,0.348270912145442,4,0,0
1,28,1,neck,leg,head,tail,0.769082350117314,0.14873682350414,0.845247166173078,0.666546162080578,4,0,0
