version,condition,structure1,structure2,iSession,iBlock,iTrial,stiID,category,ambigous,choice,presskey,feedback,choRT,recDU
1,2,4,4,1,1,1,64,4,1,1,1,0,28.559,6.369
1,2,4,4,1,1,2,17,1,1,2,2,0,12.843,3.326
1,2,4,4,1,1,3,5,1,1,1,1,1,5.059,3.35
1,2,4,4,1,1,4,9,3,0,3,3,1,3.914,3.771
1,2,4,4,1,1,5,4,1,0,2,2,0,6.127,2.82
1,2,4,4,1,1,6,62,4,0,2,2,0,4.823,2.969
1,2,4,4,1,1,7,55,2,0,3,3,0,16.955,3.387
1,2,4,4,1,1,8,14,3,1,4,4,0,29.995,3.635
1,2,4,4,1,1,9,51,2,0,1,1,0,25.55,2.706
1,2,4,4,1,1,10,12,3,1,1,1,0,4.221,2.387
1,2,4,4,1,1,11,26,4,1,1,1,0,2.529,2.569
1,2,4,4,1,1,12,39,2,0,1,1,0,1.823,4.172
1,2,4,4,1,1,13,32,4,0,1,1,0,3.901,2.984
1,2,4,4,1,1,14,27,4,0,1,1,0,29.984,2.843
1,2,4,4,1,1,15,30,4,1,1,1,0,5.908,2.613
1,2,4,4,1,1,16,15,3,0,1,1,0,10.707,2.89
1,2,4,4,1,1,17,52,2,0,1,1,0,5.871,3.241
1,2,4,4,1,1,18,34,2,0,2,2,1,5.437,2.414
1,2,4,4,1,1,19,20,1,1,1,1,1,3.894,2.851
1,2,4,4,1,1,20,42,3,0,2,2,0,4.89,2.277
1,2,4,4,1,1,21,29,4,1,3,3,0,42.381,4.286
1,2,4,4,1,1,22,53,2,0,2,2,1,4.016,1.987
1,2,4,4,1,1,23,63,4,0,2,2,0,1.913,2.305
1,2,4,4,1,1,24,11,3,0,3,3,1,9.923,2.757
1,2,4,4,1,1,25,10,3,0,3,3,1,3.061,2.346
1,2,4,4,1,1,26,6,1,0,4,4,0,18.576,2.118
1,2,4,4,1,1,27,2,1,0,4,4,0,2.794,2.369
1,2,4,4,1,1,28,59,4,0,4,4,1,7.956,2.741
1,2,4,4,1,1,29,35,2,0,1,1,0,14.3,2.065
1,2,4,4,1,1,30,24,1,0,4,4,0,7.172,5.202
1,2,4,4,1,1,31,23,1,0,3,3,0,5.874,2.797
1,2,4,4,1,1,32,44,3,1,3,3,1,3.641,2.202
1,2,4,4,1,1,33,48,3,0,3,3,1,3.179,2.89
1,2,4,4,1,1,34,58,4,1,1,1,0,9.949,2.024
1,2,4,4,1,1,35,28,4,0,3,3,0,1.15,2.144
1,2,4,4,1,1,36,38,2,0,2,2,1,3.778,2.425
1,2,4,4,1,1,37,13,3,0,3,3,1,4.05,2.388
1,2,4,4,1,1,38,46,3,1,4,4,0,35.792,2.394
1,2,4,4,1,1,39,36,2,0,2,2,1,2.18,2.017
1,2,4,4,1,1,40,1,1,0,2,2,0,7.653,2.337
1,2,4,4,1,1,41,3,1,0,1,1,1,6.056,2.34
1,2,4,4,1,1,42,60,4,0,4,4,1,6.502,3.334
1,2,4,4,1,1,43,37,2,0,2,2,1,6.093,2.128
1,2,4,4,1,1,44,57,4,0,4,4,1,9.337,2.648
1,2,4,4,1,1,45,56,2,0,2,2,1,2.797,1.93
1,2,4,4,1,1,46,25,4,0,4,4,1,12.022,2.271
1,2,4,4,1,1,47,43,3,0,4,4,0,3.74,3.427
1,2,4,4,1,1,48,41,3,0,4,4,0,2.92,2.519
1,2,4,4,1,1,49,54,2,0,2,2,1,5.165,1.891
1,2,4,4,1,1,50,19,1,0,2,2,0,1.2,2.244
1,2,4,4,1,1,51,61,4,0,3,3,0,2.35,2.259
1,2,4,4,1,1,52,33,2,0,2,2,1,2.891,3.897
1,2,4,4,1,1,53,47,3,1,4,4,0,2.225,2.643
1,2,4,4,1,1,54,40,2,0,2,2,1,2.196,2.119
1,2,4,4,1,1,55,8,1,0,1,1,1,4.549,2.284
1,2,4,4,1,1,56,22,1,0,2,2,0,3.12,2.007
1,2,4,4,1,1,57,21,1,0,4,4,0,4.493,2.411
1,2,4,4,1,1,58,31,4,0,3,3,0,1.218,2.018
1,2,4,4,1,1,59,16,3,0,1,1,0,2.535,2.256
1,2,4,4,1,1,60,45,3,0,2,2,0,2.505,2.294
1,2,4,4,1,1,61,18,1,0,2,2,0,1.989,2.863
1,2,4,4,1,1,62,49,2,1,2,2,1,4.035,1.989
1,2,4,4,1,1,63,50,2,1,2,2,1,1.477,3.37
1,2,4,4,1,1,64,7,1,0,2,2,0,1.404,2.137
1,2,4,4,1,2,65,95,4,0,3,3,0,17.147,2.319
1,2,4,4,1,2,66,124,4,0,4,4,1,26.91,2.021
1,2,4,4,1,2,67,115,2,0,2,2,1,3.257,2.389
1,2,4,4,1,2,68,79,3,0,1,1,0,11.956,1.881
1,2,4,4,1,2,69,98,2,0,2,2,1,2.57,2.284
1,2,4,4,1,2,70,120,2,0,2,2,1,1.238,2.382
1,2,4,4,1,2,71,82,1,0,4,4,0,20.424,2.498
1,2,4,4,1,2,72,114,2,1,2,2,1,1.293,2.348
1,2,4,4,1,2,73,100,2,0,4,4,0,8.177,2.243
1,2,4,4,1,2,74,65,1,1,2,2,0,2.278,2.536
1,2,4,4,1,2,75,75,3,0,2,2,0,6.544,2.016
1,2,4,4,1,2,76,126,4,0,2,2,0,1.558,1.8
1,2,4,4,1,2,77,76,3,1,2,2,0,1.084,2.122
1,2,4,4,1,2,78,116,2,1,2,2,1,1.533,2.165
1,2,4,4,1,2,79,128,4,0,2,2,0,1.377,2.589
1,2,4,4,1,2,80,110,3,1,2,2,0,1.432,2.398
1,2,4,4,1,2,81,102,2,0,2,2,1,2.827,2.34
1,2,4,4,1,2,82,117,2,1,1,1,0,20.22,1.649
1,2,4,4,1,2,83,111,3,1,2,2,0,9.943,2.291
1,2,4,4,1,2,84,73,1,0,2,2,0,1.882,2.276
1,2,4,4,1,2,85,106,3,0,1,1,0,3.052,2.14
1,2,4,4,1,2,86,93,4,0,1,1,0,5.713,1.82
1,2,4,4,1,2,87,122,4,0,1,1,0,3.171,2.244
1,2,4,4,1,2,88,86,1,0,2,2,0,4.831,2.067
1,2,4,4,1,2,89,104,2,0,2,2,1,3.076,2.203
