condition,iSession,iBlock,iTrial,stiID,category,ambiguous,choice,presskey,feedback,choRT,recDU
1,1,1,1,21,1,0,2,1,0,4.599,4.413
1,1,1,2,27,2,0,1,2,0,13.724,3.645
1,1,1,3,18,1,0,1,2,1,5.03,3.79
1,1,1,4,37,1,0,2,1,0,22.62,3.149
1,1,1,5,28,2,0,1,2,0,8.533,3.598
1,1,1,6,61,2,1,2,1,1,27.11,2.886
1,1,1,7,5,1,0,1,2,1,3.608,2.686
1,1,1,8,45,2,0,2,1,1,2.134,4.374
1,1,1,9,64,2,0,1,2,0,2.869,2.541
1,1,1,10,11,2,0,2,1,1,12.91,4.606
1,1,1,11,52,1,0,1,2,1,5.063,4.606
1,1,1,12,30,2,0,1,2,0,1.355,2.253
1,1,1,13,62,2,0,2,1,1,24.266,2.966
1,1,1,14,7,1,0,2,1,0,6.603,3.174
1,1,1,15,10,2,1,2,1,1,11.372,3.741
1,1,1,16,48,2,0,1,2,0,11.54,5.006
1,1,1,17,40,1,0,2,1,0,14.38,4.318
1,1,1,18,59,2,0,2,1,1,36.284,0.023
1,1,1,19,2,1,0,1,2,1,4.766,0.022
1,1,1,20,46,2,1,2,1,1,5.631,2.607
1,1,1,21,54,1,1,1,2,1,2.664,2.014
1,1,1,22,23,1,1,1,2,1,1.908,1.638
1,1,1,23,47,2,1,2,1,1,2.471,1.894
1,1,1,24,13,2,0,2,1,1,1.688,3.413
1,1,1,25,63,2,0,2,1,1,9.144,2.774
1,1,1,26,33,1,0,2,1,0,9.024,1.861
1,1,1,27,39,1,0,2,1,0,10.15,2.286
1,1,1,28,38,1,0,1,2,1,3.173,2.014
1,1,1,29,24,1,0,1,2,1,3.732,3.158
1,1,1,30,35,1,0,2,1,0,3.29,2.149
1,1,1,31,8,1,0,2,1,0,35.799,6.726
1,1,1,32,20,1,0,1,2,1,16.076,2.902
1,1,1,33,32,2,0,1,2,0,3.536,2.646
1,1,1,34,19,1,0,1,2,1,7.058,3.038
1,1,1,35,49,1,0,2,1,0,3.587,2.918
1,1,1,36,16,2,0,2,1,1,24.633,4.086
1,1,1,37,43,2,0,2,1,1,4.005,2.782
1,1,1,38,36,1,0,1,2,1,5.011,2.917
1,1,1,39,17,1,0,1,2,1,10.559,2.719
1,1,1,40,25,2,0,2,1,1,3.018,3.326
1,1,1,41,55,1,0,1,2,1,3.678,5.725
1,1,1,42,22,1,1,1,2,1,6.782,2.502
1,1,1,43,44,2,0,2,1,1,2.54,2.406
1,1,1,44,3,1,0,2,1,0,2.092,2.054
1,1,1,45,9,2,0,2,1,1,27.275,4.037
1,1,1,46,6,1,0,1,2,1,16.282,3.654
1,1,1,47,31,2,1,1,2,0,4.828,2.214
1,1,1,48,58,2,0,1,2,0,17.955,1.878
1,1,1,49,57,2,0,1,2,0,56.686,6.382
