version,condition,structure1,structure2,iSession,iBlock,iTrial,stiID,category,ambigous,choice,presskey,feedback,choRT,recDU
1,3,1,6,1,1,1,15,3,0,1,1,0,42.677,5.062
1,3,1,6,1,1,2,18,1,0,1,1,1,9.444,4.341
1,3,1,6,1,1,3,4,1,0,3,2,0,13.418,4.046
1,3,1,6,1,1,4,28,4,1,3,2,0.5,6.056,4.307
1,3,1,6,1,1,5,37,2,1,4,3,0,10.454,4.098
1,3,1,6,1,1,6,6,1,0,4,3,0,11.276,3.541
1,3,1,6,1,1,7,39,2,0,4,3,0,35.651,2.763
1,3,1,6,1,1,8,42,3,0,2,4,0,8.615,4.226
1,3,1,6,1,1,9,25,4,0,4,3,1,11.61,3.733
1,3,1,6,1,1,10,34,2,0,3,2,0,6.162,4.164
1,3,1,6,1,1,11,50,2,0,1,1,0.5,10.291,3.718
1,3,1,6,1,1,12,12,3,0,2,4,0,12.288,3.525
1,3,1,6,1,1,13,7,1,1,4,3,0,9.235,3.054
1,3,1,6,1,1,14,45,3,0,1,1,0,16.851,3.023
1,3,1,6,1,1,15,51,2,0,4,3,0,15.794,5.882
1,3,1,6,1,1,16,48,3,0,3,2,1,32.604,3.623
1,3,1,6,1,1,17,35,2,0,2,4,1,10.234,4.176
1,3,1,6,1,1,18,20,1,0,4,3,0,18.719,4.623
1,3,1,6,1,1,19,9,3,1,4,3,0.5,24.394,4.397
1,3,1,6,1,1,20,29,4,1,4,3,1,22.723,3.956
1,3,1,6,1,1,21,58,4,0,1,1,0,13.344,3.935
1,3,1,6,1,1,22,64,4,0,3,2,0.5,35.97,5.394
1,3,1,6,1,1,23,36,2,0,1,1,0.5,8.792,6.165
1,3,1,6,1,1,24,46,3,1,1,1,0,12.903,3.817
1,3,1,6,1,1,25,56,2,0,3,2,0,25.344,4.636
1,3,1,6,1,1,26,63,4,1,4,3,1,15.205,4.404
1,3,1,6,1,1,27,38,2,1,1,1,0.5,26.447,3.891
1,3,1,6,1,1,28,16,3,1,2,4,0,8.317,5.508
1,3,1,6,1,1,29,11,3,0,4,3,0.5,15.035,4.885
1,3,1,6,1,1,30,57,4,0,3,2,0.5,31.861,4.417
1,3,1,6,1,1,31,24,1,0,1,1,1,19.401,4.093
1,3,1,6,1,1,32,27,4,0,1,1,0,5.941,4.063
1,3,1,6,1,1,33,2,1,1,3,2,0,29.556,3.118
1,3,1,6,1,1,34,32,4,1,4,3,1,15.592,3.943
1,3,1,6,1,1,35,59,4,0,3,2,0.5,21.383,3.764
1,3,1,6,1,1,36,1,1,1,2,4,0.5,4.633,4.206
1,3,1,6,1,1,37,53,2,0,2,4,1,29.835,4.813
1,3,1,6,1,1,38,47,3,1,4,3,0.5,6.913,3.43
1,3,1,6,1,1,39,26,4,0,4,3,1,3.83,4.162
1,3,1,6,1,1,40,33,2,0,3,2,0,12.497,4.386
1,3,1,6,1,1,41,5,1,0,2,4,0.5,2.158,4.219
1,3,1,6,1,1,42,30,4,1,1,1,0,18.503,3.71
1,3,1,6,1,1,43,3,1,0,2,4,0.5,12.843,4
1,3,1,6,1,1,44,61,4,1,2,4,0,5.337,4.843
1,3,1,6,1,1,45,49,2,1,1,1,0.5,11.006,4.484
1,3,1,6,1,1,46,41,3,1,4,3,0.5,3.986,3.884
1,3,1,6,1,1,47,14,3,0,3,2,1,12.551,4.901
1,3,1,6,1,1,48,54,2,0,1,1,0.5,5.886,4.308
1,3,1,6,1,1,49,60,4,0,2,4,0,2.309,4.172
1,3,1,6,1,1,50,40,2,1,1,1,0.5,15.492,3.22
1,3,1,6,1,1,51,13,3,1,1,1,0,4.147,4.512
1,3,1,6,1,1,52,62,4,0,3,2,0.5,11.053,4.036
1,3,1,6,1,1,53,44,3,0,4,3,0.5,5.531,3.868
1,3,1,6,1,1,54,43,3,0,2,4,0,3.43,4.324
1,3,1,6,1,1,55,52,2,0,1,1,0.5,18.668,5.872
1,3,1,6,1,1,56,8,1,0,1,1,1,5.654,4.6
1,3,1,6,1,1,57,31,4,1,4,3,1,4.181,3.534
1,3,1,6,1,1,58,55,2,0,3,2,0,11.158,3.666
1,3,1,6,1,1,59,23,1,0,3,2,0,12.801,5.223
1,3,1,6,1,1,60,22,1,0,2,4,0.5,5.956,6.68
1,3,1,6,1,1,61,10,3,1,3,2,1,9.951,4.042
1,3,1,6,1,1,62,19,1,0,1,1,1,7.203,6.003
1,3,1,6,1,1,63,17,1,0,2,4,0.5,4.749,3.689
1,3,1,6,1,1,64,21,1,0,1,1,1,7.07,4.137
1,3,1,6,1,2,65,114,2,0,1,1,0.5,2.205,4.364
1,3,1,6,1,2,66,89,1,0,2,4,0.5,9.991,4.531
1,3,1,6,1,2,67,74,3,0,4,3,0.5,6.564,3.86
1,3,1,6,1,2,68,84,1,0,1,1,1,4.801,4.179
1,3,1,6,1,2,69,117,2,0,2,4,1,5.455,4.883
1,3,1,6,1,2,70,85,1,0,1,1,1,2.417,4.729
1,3,1,6,1,2,71,128,4,0,3,2,0.5,6.89,3.718
1,3,1,6,1,2,72,67,1,0,1,1,1,4.684,3.704
1,3,1,6,1,2,73,65,1,1,1,1,1,5.646,5.792
1,3,1,6,1,2,74,91,4,0,3,2,0.5,11.573,5.549
1,3,1,6,1,2,75,80,3,0,4,3,0.5,5.666,4.852
1,3,1,6,1,2,76,115,2,0,1,1,0.5,5.084,4.9
1,3,1,6,1,2,77,113,2,0,2,4,1,11.137,3.802
