iTrial,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category
1,1,1,1,0.333333333333333,0.666666666666667,0.5,0.5,0.5,0.5,2
2,-1,1,0.666666666666667,0,0,0.5,0.5,0.5,0.5,1
3,-1,0,0.166666666666667,0.833333333333333,0,0.5,0.5,0.5,0.5,2
4,-1,0.166666666666667,1,0.333333333333333,0.5,0.5,0.5,0.5,0.5,1
5,-1,0.666666666666667,0.166666666666667,0.333333333333333,1,0.5,0.5,0.5,0.5,1
6,1,0.333333333333333,0.5,0.333333333333333,1,0.5,0.5,0.5,0.5,4
7,-1,0,0.333333333333333,0.5,0.166666666666667,0.5,0.5,0.5,0.5,2
8,-1,0.666666666666667,0,1,0.166666666666667,0.5,0.5,0.5,0.5,3
9,1,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5,3
10,1,0.5,0,1,1,0.5,0.5,0.5,0.5,1
11,1,0.833333333333333,0.833333333333333,0,0.5,0.5,0.5,0.5,0.5,1
12,-1,1,0,0.833333333333333,0.833333333333333,0.5,0.5,0.5,0.5,3
13,-1,0,0.5,0,1,0.5,0.5,0.5,0.5,4
14,-1,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5,3
15,-1,0,0.833333333333333,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.5,4
16,-1,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.5,0.5,0.5,2
17,1,0.5,1,0.833333333333333,0,0.5,0.5,0.5,0.5,4
18,1,0.833333333333333,0,0.5,0,0.5,0.5,0.5,0.5,3
19,1,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5,4
20,-1,0.833333333333333,0.5,0.5,0.166666666666667,0.5,0.5,0.5,0.5,2
21,-1,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5,3
22,-1,0.166666666666667,0.166666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5,1
23,1,1,0.833333333333333,1,0.666666666666667,0.5,0.5,0.5,0.5,3
24,-1,0.666666666666667,0.666666666666667,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5,2
25,1,0.333333333333333,1,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5,2
26,-1,0.5,0.5,0,0.833333333333333,0.5,0.5,0.5,0.5,1
27,1,0.833333333333333,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5,4
28,-1,0.333333333333333,0.333333333333333,1,0.666666666666667,0.5,0.5,0.5,0.5,4
