iTrial,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category
1,1,0.5,0.5,0.5,0.5,0,1,0.333333333333333,0.5,2
2,1,0.5,0.5,0.5,0.5,0.166666666666667,0.166666666666667,1,0.666666666666667,2
3,-1,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0,0.333333333333333,2
4,-1,0.5,0.5,0.5,0.5,0.666666666666667,0.166666666666667,0.166666666666667,1,2
5,-1,0.5,0.5,0.5,0.5,0.333333333333333,1,0.5,0.833333333333333,1
6,-1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.333333333333333,1
7,1,0.5,0.5,0.5,0.5,0.166666666666667,0.833333333333333,1,0.833333333333333,1
8,1,0.5,0.5,0.5,0.5,0.666666666666667,0.333333333333333,0.833333333333333,0.666666666666667,2
9,1,0.5,0.5,0.5,0.5,1,0.833333333333333,0.666666666666667,0.166666666666667,2
10,1,0.5,0.5,0.5,0.5,0.333333333333333,0.5,0.666666666666667,0.5,1
11,-1,0.5,0.5,0.5,0.5,0.833333333333333,0,0,0,2
12,1,0.5,0.5,0.5,0.5,0,0,0.166666666666667,0,1
13,1,0.5,0.5,0.5,0.5,0.833333333333333,0.666666666666667,0.333333333333333,1,1
14,1,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.833333333333333,0.166666666666667,1
