iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,timestamp
1,0.33333333333333,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1734072558335
1,0.34005392759406,1.0,0.0,0.5,0.49987016380748,0.5,0.5,0.5,1734072558406
1,0.34672805750849,1.0,0.0,0.5,0.49987161596581,0.5,0.5,0.5,1734072558420
1,0.35340205030255,1.0,0.0,0.5,0.49987303597114,0.5,0.5,0.5,1734072558434
1,0.37444321855583,1.0,0.0,0.5,0.49987731413676,0.5,0.5,0.5,1734072558451
1,0.3783246910664,1.0,0.0,0.5,0.49987807202804,0.5,0.5,0.5,1734072558482
1,0.38883878379352,1.0,0.0,0.5,0.49988007873465,0.5,0.5,0.5,1734072558498
1,0.3927194651844,1.0,0.0,0.5,0.49988080280829,0.5,0.5,0.5,1734072558514
1,0.39939258971755,1.0,0.0,0.5,0.49988202767245,0.5,0.5,0.5,1734072558522
1,0.4165630079281,1.0,0.0,0.5,0.49988506659629,0.5,0.5,0.5,1734072558538
1,0.42707675020446,1.0,0.0,0.5,0.49988685129823,0.5,0.5,0.5,1734072558554
1,0.43374930233961,1.0,0.0,0.5,0.49988795549038,0.5,0.5,0.5,1734072558567
1,0.45759746403892,1.0,0.0,0.5,0.4998917317272,0.5,0.5,0.5,1734072558585
1,0.47863500089995,1.0,0.0,0.5,0.49989485770631,0.5,0.5,0.5,1734072558601
1,0.49580533447679,1.0,0.0,0.5,0.49989727834904,0.5,0.5,0.5,1734072558618
1,0.52737489152351,1.0,0.0,0.5,0.49990144992323,0.5,0.5,0.5,1734072558635
1,0.54073577781225,1.0,0.0,0.5,0.49990311510193,0.5,0.5,0.5,1734072558651
1,0.56177108584504,1.0,0.0,0.5,0.49990562566644,0.5,0.5,0.5,1734072558668
1,0.572283794212,1.0,0.0,0.5,0.4999068322205,0.5,0.5,0.5,1734072558684
1,0.58945404836683,1.0,0.0,0.5,0.49990873788104,0.5,0.5,0.5,1734072558701
1,0.60662428984354,1.0,0.0,0.5,0.4999105671458,0.5,0.5,0.5,1734072558718
1,0.61329459189277,1.0,0.0,0.5,0.49991125815459,0.5,0.5,0.5,1734072558735
1,0.62769980513103,1.0,0.0,0.5,0.49991271462661,0.5,0.5,0.5,1734072558751
1,0.64105647822826,1.0,0.0,0.5,0.49991402300855,0.5,0.5,0.5,1734072558768
1,0.6515687626424,1.0,0.0,0.5,0.49991502549957,0.5,0.5,0.5,1734072558784
1,0.65823864067272,1.0,0.0,0.5,0.49991564953111,0.5,0.5,0.5,1734072558816
1,0.66875084285806,1.0,0.0,0.5,0.49991661465587,0.5,0.5,0.5,1734072558832
1,0.67542056967057,1.0,0.0,0.5,0.49991721563394,0.5,0.5,0.5,1734072558868
