iSession,iTrial,text,A,b,n_constraints,matched_rules,un_pro
1,1,头长，腿长，脖子、尾巴短。,"[[0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, -0.5, -0.5]",4,"['general_case', 'general_case', 'general_case']",[]
1,2,头长，腿长，脖子、尾巴较短。,"[[0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, -0.5, -0.5]",4,"['general_case', 'general_case', 'general_case']",[]
1,3,头、腿较短，脖子、尾巴较长。,"[[0.0, -1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[-0.5, -0.5, 0.5, 0.5]",4,"['general_case', 'general_case']",[]
1,4,脖子、尾巴较长，头、腿略短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0]]","[0.5, 0.5, -0.5, -0.5]",4,"['general_case', 'general_case']",[]
1,5,头、腿较长，脖子、尾巴较短。,"[[0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, -0.5, -0.5]",4,"['general_case', 'general_case']",[]
1,6,脖子较长，尾巴较长，头、腿略短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0]]","[0.5, 0.5, -0.5, -0.5]",4,"['general_case', 'general_case', 'general_case']",[]
1,7,脖子、腿较长，头、尾巴较短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, -0.5, -0.5]",4,"['general_case', 'general_case']",[]
1,8,腿短，头、脖子、尾巴中等长度。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, 0.25, -0.75, 0.25, -0.75, 0.25, -0.75]",7,"['general_case', 'general_case']",[]
1,9,腿长，头、脖子短，尾巴中等长度。,"[[0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5, -0.5, 0.25, -0.75]",5,"['general_case', 'general_case', 'general_case']",[]
1,10,头长，脖子较短，尾巴、腿中等长度。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5, 0.25, -0.75, 0.25, -0.75]",6,"['general_case', 'general_case', 'general_case']",[]
