iSession,stiID,feature1_name,feature2_name,feature3_name,feature4_name,feature1,feature2,feature3,feature4,dist_category1,dist_category2,prob_category1,prob_category2,ambiguous
1,1,green,yellow,pink,blue,0.779983393261128,0.163723746857993,0.192450636474012,0.908197687992673,0.809429477501042,0.61252974277702,0.122496622383816,0.877503377616184,0
1,2,green,yellow,pink,blue,0.357144212450077,0.725136566458911,0.54286123021611,0.407241881334494,0.269457806441857,0.46418024193451,0.875143670441784,0.124856329558216,0
1,3,green,yellow,pink,blue,0.968263456341289,0.380147732238236,0.362810077710802,0.440175317543561,0.743415782864275,0.290522924862072,0.0106770041787506,0.989322995821249,0
1,4,green,yellow,pink,blue,0.723112918727358,0.0773934284919388,0.71958747290346,0.961647300082546,0.814720219509833,0.663819340898404,0.181085737457028,0.818914262542972,0
1,5,green,yellow,pink,blue,0.604232805300761,0.329989669835607,0.669059009025313,0.577072017598207,0.434632531160671,0.290985621367055,0.192092724562274,0.807907275437726,0
1,6,green,yellow,pink,blue,0.368781750397207,0.681470479602674,0.464656648491846,0.386738180986358,0.247220612685829,0.438561604497646,0.871401749977376,0.128598250022624,0
1,7,green,yellow,pink,blue,0.668739890533626,0.836858405147023,0.619756388397648,0.621147413135336,0.563768542323657,0.386128319060018,0.144747954230661,0.855252045769339,0
1,8,green,yellow,pink,blue,0.0372929860159306,0.69933376626493,0.225710505523603,0.0240299729008238,0.621900649339015,0.921665574724563,0.952467814908854,0.0475321850911456,0
1,9,green,yellow,pink,blue,0.742794995875313,0.872518799746066,0.514774264637348,0.150191564965554,0.710071393763206,0.511279168718528,0.120476851787232,0.879523148212768,0
1,10,green,yellow,pink,blue,0.279101862202974,0.780511304376005,0.676280147798033,0.224467378140566,0.431887052923376,0.638298178189367,0.887365735395591,0.112634264604409,0
1,11,green,yellow,pink,blue,0.259396059161693,0.423938113802859,0.236158190019979,0.353532926448869,0.311349965132169,0.580984286901212,0.936810520435279,0.0631894795647212,0
1,12,green,yellow,pink,blue,0.0624022781974721,0.972055679876438,0.384005156180461,0.535302214130336,0.522236077118699,0.842809730631331,0.961049583395539,0.0389504166044609,0
1,13,green,yellow,pink,blue,0.477438427290045,0.230609183227702,0.794288090028266,0.768196656812969,0.531821941092649,0.552626591594639,0.551824831612067,0.448175168387933,1
1,14,green,yellow,pink,blue,0.323908119054758,0.808682618317059,0.172264650143004,0.87765434683234,0.592267367107573,0.725859845346041,0.791818974557208,0.208181025442792,0
1,15,green,yellow,pink,blue,0.418007057918101,0.553489679620655,0.0958129387561831,0.038087602010185,0.638606108043002,0.699864775018524,0.648530630380386,0.351469369619614,0
1,16,green,yellow,pink,blue,0.81354718598196,0.79494350416648,0.118342399288684,0.709410750900008,0.770773954056189,0.529665273799833,0.082331169926366,0.917668830073634,0
1,17,green,yellow,pink,blue,0.401993008248233,0.459714296665167,0.88734819137648,0.788649259853036,0.508017547950723,0.596731782945766,0.70830010207921,0.29169989792079,0
1,18,green,yellow,pink,blue,0.514294993201579,0.539633879949845,0.898002304348921,0.856937196854383,0.597689455015409,0.585608821172494,0.469835092458374,0.530164907541626,1
1,19,green,yellow,pink,blue,0.0249281993510481,0.64593061588803,0.919448450958672,0.605508519551352,0.508942148785467,0.856792805443253,0.970069989971598,0.0299300100284024,0
1,20,green,yellow,pink,blue,0.937123684376063,0.989255454944441,0.853929370728145,0.689420865308097,0.934160650799163,0.659948814019279,0.0605333215649099,0.93946667843509,0
1,21,green,yellow,pink,blue,0.157456258982344,0.854803931898178,0.0673032020874048,0.167620107319098,0.657383515213403,0.880168635598876,0.902722827153757,0.097277172846243,0
1,22,green,yellow,pink,blue,0.836608755038064,0.966694571522108,0.410452887821445,0.256178321784329,0.793335585135909,0.541084647356467,0.0742951772253392,0.925704822774661,0
1,23,green,yellow,pink,blue,0.584234554119475,0.819849852691455,0.470633027814994,0.975111936067703,0.663784932251031,0.59697226247459,0.338916431329122,0.661083568670878,0
1,24,green,yellow,pink,blue,0.620520006274487,0.48079458737142,0.0593321128693744,0.427682093460795,0.580579012089021,0.465351461804705,0.240073698634608,0.759926301365392,0
1,25,green,yellow,pink,blue,0.521830080791434,0.312290088833186,0.448339759742454,0.512257267593238,0.334582761967275,0.300192511256055,0.414861823987269,0.585138176012732,1
1,26,green,yellow,pink,blue,0.0805524007945903,0.623413653804549,0.395669843764251,0.0080179295369173,0.544861962316313,0.846358173106749,0.953245506135168,0.046754493864832,0
1,27,green,yellow,pink,blue,0.0126067272752413,0.450701409604759,0.337858155466105,0.989802622819999,0.570072367353596,0.901318909568024,0.964853981056124,0.0351460189438762,0
1,28,green,yellow,pink,blue,0.762698578286559,0.0510826280312266,0.765678719713664,0.374126232599594,0.742169809720573,0.536765729321566,0.11364471684438,0.88635528315562,0
1,29,green,yellow,pink,blue,0.890011137226979,0.709801854936178,0.981227688092745,0.06998720123204,0.93280339246841,0.692900448674696,0.0832467366507403,0.91675326334926,0
1,30,green,yellow,pink,blue,0.643652812049545,0.0061956929419335,0.021178758900878,0.930364547800941,0.901825179863161,0.818312802652921,0.302562766757669,0.697437233242331,0
1,31,green,yellow,pink,blue,0.194311864128014,0.916937697174903,0.0418352243268282,0.547566845864276,0.623791454170006,0.833548987263206,0.890667290348012,0.109332709651988,0
1,32,green,yellow,pink,blue,0.173685472268366,0.92446626312695,0.607366786268091,0.405504010432353,0.454370591603117,0.72990900956585,0.94021670881124,0.0597832911887603,0
1,33,green,yellow,pink,blue,0.629562897088157,0.593714403613049,0.76448394072803,0.674008258970013,0.503071576799274,0.351451439455226,0.180021567719321,0.819978432280679,0
1,34,green,yellow,pink,blue,0.869635552548436,0.103615334989103,0.630869382751411,0.814901811866238,0.810776767733376,0.536398559419901,0.0604387768213003,0.9395612231787,0
1,35,green,yellow,pink,blue,0.898190803048781,0.528902817360554,0.517346442971794,0.11154252277202,0.756430301287899,0.417128274824089,0.0325143121811672,0.967485687818833,0
1,36,green,yellow,pink,blue,0.0759298374219496,0.293273775727289,0.323313975433562,0.0991846349639907,0.514691229212274,0.830046519181962,0.959048487913004,0.0409515120869958,0
1,37,green,yellow,pink,blue,0.142382821671199,0.208958949576152,0.940294759629974,0.177277623516879,0.627929580242721,0.867129019277178,0.916214795106686,0.0837852048933141,0
1,38,green,yellow,pink,blue,0.952851050517827,0.274575705210488,0.805975520964669,0.489451272401735,0.799091989059398,0.430925697146362,0.0245625546160468,0.975437445383953,0
1,39,green,yellow,pink,blue,0.983350805159555,0.348683820337508,0.203313648692671,0.525537565942249,0.805838040788675,0.407460602785809,0.0182750510017023,0.981724948998298,0
