iSession,stiID,body_ori,feature1_name,feature2_name,feature3_name,feature4_name,feature1,feature2,feature3,feature4,category,ambiguous_fam,ambiguous_spe
1,1,-1,tail,head,neck,leg,0.113112587627145,0.477718221349767,0.11253768160049,0.00469625966845411,1,0,1
1,2,1,tail,head,neck,leg,0.384196560018854,0.210649569264227,0.495383897417189,0.0922300927629971,1,0,1
1,3,1,tail,head,neck,leg,0.051199520490874,0.103472568748078,0.430055124665782,0.913592668933484,1,0,0
1,4,-1,tail,head,neck,leg,0.346991824281796,0.35766381683969,0.137144611696063,0.404479658372051,1,0,0
1,5,-1,tail,head,neck,leg,0.330261498871485,0.0666138497012769,0.0826068644087012,0.685992126503148,1,0,0
1,6,-1,tail,head,neck,leg,0.42390622631995,0.356591112981661,0.469974280401024,0.00420726848342112,1,0,1
1,7,-1,tail,head,neck,leg,0.0347948739564312,0.272657834075682,0.187541245276216,0.757353474804822,1,0,0
1,8,-1,tail,head,neck,leg,0.122885303356822,0.167993915434928,0.457201892032307,0.541092055224549,1,0,1
1,9,-1,tail,head,neck,leg,0.831738398789705,0.0830370494749268,0.191030391231615,0.196450832707111,3,0,0
1,10,1,tail,head,neck,leg,0.842973801583066,0.293995205536345,0.318373931599836,0.415017654788569,3,0,0
1,11,1,tail,head,neck,leg,0.864740838483459,0.370111213809582,0.101034146912511,0.922454223100067,3,0,0
1,12,-1,tail,head,neck,leg,0.708745930582609,0.276798701415996,0.0820296395283436,0.840130873918811,3,0,0
1,13,-1,tail,head,neck,leg,0.857784075810739,0.0337366853563141,0.304058165297193,0.43213117790655,3,0,0
1,14,-1,tail,head,neck,leg,0.950319361727889,0.359271556159688,0.126770861832821,0.968345456802967,3,0,0
1,15,1,tail,head,neck,leg,0.767540707068252,0.0507310100995034,0.455827250270996,0.323529148106316,3,0,1
1,16,1,tail,head,neck,leg,0.799747233152144,0.113962490163128,0.47206584901387,0.168118190864771,3,0,1
1,17,1,tail,head,neck,leg,0.244377485490062,0.357006227005428,0.842531355861336,0.725959479076199,1,0,0
1,18,1,tail,head,neck,leg,0.0889325927298604,0.14994370072901,0.666019545300718,0.187398152587423,1,0,0
1,19,1,tail,head,neck,leg,0.426554525880675,0.332617857238022,0.58200902718666,0.489445848131972,1,0,0
1,20,-1,tail,head,neck,leg,0.430541101388793,0.23174463546583,0.563347137810389,0.268575637137404,1,0,0
1,21,1,tail,head,neck,leg,0.0551876301987038,0.458296297938315,0.515416910780514,0.556998151055571,1,0,1
1,22,-1,tail,head,neck,leg,0.162334091500603,0.0763993991092775,0.838684549144105,0.581938956370487,1,0,0
1,23,-1,tail,head,neck,leg,0.47938478631719,0.0749464469567013,0.546875154291441,0.0620824057295131,1,1,1
1,24,1,tail,head,neck,leg,0.0110159733933503,0.286436204228643,0.959646797961006,0.0433471249834189,1,0,0
1,25,-1,tail,head,neck,leg,0.922528201759232,0.0220063574451316,0.567350052362261,0.459720417898197,4,0,0
1,26,1,tail,head,neck,leg,0.802249332443802,0.0740302425475463,0.669613391484027,0.187928947358639,4,0,0
1,27,-1,tail,head,neck,leg,0.722822568999215,0.449467455535059,0.844157947349924,0.76102837220188,4,0,0
1,28,-1,tail,head,neck,leg,0.769843607662531,0.469660314553566,0.960724828449432,0.323719112495265,4,0,1
1,29,-1,tail,head,neck,leg,0.737639598614333,0.457058020899567,0.763864838140568,0.361634111108311,4,0,1
1,30,1,tail,head,neck,leg,0.878180701695122,0.224713632657539,0.903184877485412,0.679177480404737,4,0,0
1,31,1,tail,head,neck,leg,0.663063303454087,0.3274301022775,0.974018148541725,0.324359549378381,4,0,0
1,32,-1,tail,head,neck,leg,0.982772741210558,0.374060570130652,0.941758203246118,0.811229140939628,4,0,0
1,33,-1,tail,head,neck,leg,0.125595779682668,0.568613129012566,0.245340739987444,0.94919127254331,2,0,0
1,34,1,tail,head,neck,leg,0.0338396071268399,0.621835732561721,0.0319151376871641,0.354216362482064,2,0,0
1,35,1,tail,head,neck,leg,0.277230235608775,0.60321767903451,0.450213193464208,0.566127948834301,2,0,1
1,36,-1,tail,head,neck,leg,0.262249905287313,0.865974992317634,0.426556423855227,0.942733628632687,2,0,0
1,37,-1,tail,head,neck,leg,0.350680570262912,0.50476517800887,0.0627070162071741,0.340580233171349,2,0,1
1,38,1,tail,head,neck,leg,0.444699916304735,0.927273840192673,0.419703490463424,0.110698952286601,2,0,0
1,39,1,tail,head,neck,leg,0.207813421595846,0.86291934135449,0.112152065087416,0.839794442436338,2,0,0
1,40,1,tail,head,neck,leg,0.287001903755343,0.957542785021328,0.438036471688627,0.170908656450456,2,0,0
1,41,1,tail,head,neck,leg,0.918180341085579,0.805875458299389,0.157820729645668,0.0207097748940949,3,0,0
