condition,iSession,iBlock,iTrial,stiID,category,ambiguous,choice,presskey,feedback,choRT,recDU
3,1,1,1,32,4,0,2,1,0,9.546,4.893
3,1,1,2,29,4,0,2,1,0,5.738,3.886
3,1,1,3,23,1,0,2,1,0.5,3.238,7.124
3,1,1,4,6,1,1,2,1,0.5,6.797,3.117
3,1,1,5,11,3,0,2,1,0,4,4.336
3,1,1,6,51,2,0,2,1,1,4.339,5.204
3,1,1,7,25,4,0,4,2,1,7.508,4.211
3,1,1,8,63,4,0,1,3,0,3.897,5.049
3,1,1,9,17,1,0,1,3,1,3.204,2.653
3,1,1,10,16,3,0,3,4,1,3.196,0.578
3,1,1,11,44,3,1,2,1,0,3.621,3.655
3,1,1,12,56,2,0,4,2,0,8.986,2.768
3,1,1,13,10,3,1,4,2,0.5,3.109,2.301
3,1,1,14,4,1,1,4,2,0,5.338,2.785
3,1,1,15,48,3,1,4,2,0.5,2.782,3.03
3,1,1,16,18,1,0,4,2,0,5.893,4.967
3,1,1,17,8,1,0,4,2,0,1.991,1.758
3,1,1,18,27,4,0,4,2,1,3.927,2.394
3,1,1,19,20,1,0,1,3,1,2.569,2.677
3,1,1,20,22,1,0,1,3,1,2.701,2.566
3,1,1,21,13,3,1,3,4,1,3.443,2.6
3,1,1,22,9,3,1,4,2,0.5,4.001,2.285
3,1,1,23,41,3,1,4,2,0.5,2.695,1.92
3,1,1,24,34,2,1,1,3,0.5,4.855,2.368
3,1,1,25,12,3,1,3,4,1,2.331,2.764
3,1,1,26,59,4,1,3,4,0.5,5.069,3.746
3,1,1,27,31,4,1,1,3,0,2.828,3.571
3,1,1,28,55,2,0,2,1,1,2.142,2.461
3,1,1,29,50,2,0,2,1,1,2.112,2.664
3,1,1,30,57,4,1,1,3,0,2.939,2.508
3,1,1,31,19,1,0,3,4,0,1.379,2.621
3,1,1,32,35,2,0,2,1,1,3.67,3.197
3,1,1,33,36,2,0,2,1,1,3.38,4.022
3,1,1,34,1,1,0,2,1,0.5,2.832,2.077
