seqID,iSession,iRun,iTrial,stiID,category,ambiguous,miss,choice,presskey,rating,feedback,fixDU,choRT,rateRT,fdbDU
1,2,1,361,361,2,1,0,1,1,4,5.000000e-01,1.083,1.143,1.183,0.789
1,2,1,362,362,4,1,0,2,4,3,0,1.025,2.602,0.887,0.528
1,2,1,363,363,4,1,0,4,2,1,1,1.258,14.147,2.339,2.919
1,2,1,364,364,3,0,0,2,4,1,0,1.289,3.879,1.020,0.482
1,2,1,365,365,3,1,0,3,3,1,1,1.342,9.880,1.140,2.810
1,2,1,366,366,3,0,0,3,3,1,1,1.017,5.569,0.811,1.587
1,2,1,367,367,2,1,0,3,3,1,0,1.438,2.165,0.784,0.758
1,2,1,368,368,2,0,0,1,1,1,5.000000e-01,1.125,3.691,0.588,0.766
1,2,1,369,369,1,1,0,4,2,1,0,1.399,4.668,0.480,1.469
1,2,1,370,370,1,0,0,3,3,1,0,1.265,6.017,1.037,0.474
1,2,1,371,371,4,1,0,1,1,1,0,1.197,12.582,1.814,0.678
1,2,1,372,372,2,0,0,3,3,1,0,1.027,5.270,1.657,0.403
1,2,1,373,373,2,0,0,1,1,2,5.000000e-01,1.304,0.554,0.691,0.611
1,2,1,374,374,1,0,0,4,2,1,0,1.305,3.689,0.611,0.563
1,2,1,375,375,3,0,0,1,1,2,0,1.388,10.031,0.480,0.491
1,2,1,376,376,3,0,0,1,1,2,0,1.367,1.180,0.252,0.376
1,2,1,377,377,2,0,0,1,1,1,5.000000e-01,1.104,1.907,0.891,0.442
1,2,1,378,378,4,0,0,4,2,1,1,1.223,15.220,0.881,0.923
1,2,1,379,379,3,0,0,1,1,1,0,1.406,14.581,0.711,0.680
1,2,1,380,380,1,0,0,4,2,1,0,1.107,8.815,0.567,0.438
1,2,1,381,381,2,0,0,3,3,1,0,1.356,1.271,0.885,1.584
1,2,1,382,382,4,1,0,4,2,1,1,1.075,5.199,0.533,0.567
1,2,1,383,383,4,0,0,2,4,1,0,1.483,1.559,0.663,0.486
1,2,1,384,384,1,1,0,3,3,1,0,1.205,4.014,0.546,0.583
1,2,1,385,385,3,0,0,1,1,1,0,1.126,17.524,1.271,0.483
1,2,1,386,386,1,0,0,4,2,1,0,1.358,5.389,4.160,0.595
1,2,2,387,387,1,0,0,4,2,1,0,1.264,1.724,3.581,12.635
1,2,2,388,388,1,0,0,1,1,1,1,1.229,4.837,1.015,5.579
1,2,2,389,389,4,0,0,1,1,1,0,1.034,3.881,0.454,5.546
1,2,2,390,390,3,1,0,1,1,1,0,1.436,8.471,0.566,2.161
1,2,2,391,391,4,0,0,1,1,1,0,1.307,3.391,0.367,0.654
1,2,2,392,392,4,0,0,4,2,1,1,1.284,3.711,0.435,1.757
1,2,2,393,393,1,0,0,4,2,1,0,1.102,0.934,0.466,1.058
1,2,2,394,394,4,0,0,4,2,1,1,1.496,17.059,0.461,1.061
1,2,2,395,395,3,0,0,4,2,1,5.000000e-01,1.470,4.277,0.442,5.635
1,2,2,396,396,1,1,0,3,3,1,0,1.246,13.748,0.713,0.839
1,2,2,397,397,3,1,0,1,1,1,0,1.131,10.135,1.024,0.821
1,2,2,398,398,4,0,0,1,1,1,0,1.280,12.146,0.946,0.444
1,2,2,399,399,1,1,0,4,2,1,0,1.341,1.206,0.513,0.532
1,2,2,400,400,2,0,0,3,3,1,0,1.458,6.577,0.972,0.430
1,2,2,401,401,3,1,0,2,4,1,0,1.190,4.493,0.272,0.470
1,2,2,402,402,2,0,0,2,4,1,1,1.197,0.086,0.334,0.859
1,2,2,403,403,1,0,0,3,3,1,0,1.113,13.530,0.399,0.499
1,2,2,404,404,3,0,0,1,1,1,0,1.240,0.955,0.755,0.571
1,2,2,405,405,3,0,0,1,1,1,0,1.177,3.579,0.305,0.519
1,2,2,406,406,2,0,0,3,3,1,0,1.054,0.877,0.342,0.390
1,2,2,407,407,2,0,0,3,3,1,0,1.109,1.046,0.399,0.361
1,2,2,408,408,1,0,0,3,3,1,0,1.152,0.226,0.338,0.366
1,2,2,409,409,4,0,0,3,3,1,5.000000e-01,1.208,5.762,0.340,0.462
1,2,2,410,410,3,0,0,3,3,1,1,1.290,3.784,0.332,14.512
1,2,2,411,411,3,0,0,2,4,1,0,1.290,4.488,0.792,0.937
1,2,3,412,412,1,1,0,3,3,1,0,1.117,6.605,0.587,5.043
1,2,3,413,413,4,0,0,3,3,1,5.000000e-01,1.186,5.665,0.580,3.726
1,2,3,414,414,3,0,0,1,1,1,0,1.382,3.340,0.540,2.563
1,2,3,415,415,2,0,0,3,3,1,0,1.277,4.102,0.464,6.489
1,2,3,416,416,4,1,0,2,4,1,0,1.475,1.856,0.421,0.539
1,2,3,417,417,4,0,0,2,4,1,0,1.260,6.343,0.285,0.783
1,2,3,418,418,1,0,0,2,4,1,5.000000e-01,1.238,0.813,0.197,0.354
1,2,3,419,419,4,0,0,1,1,1,0,1.172,12.686,0.855,0.427
1,2,3,420,420,2,0,0,1,1,1,5.000000e-01,1.148,0.566,0.338,0.754
1,2,3,421,421,3,0,0,4,2,1,5.000000e-01,1.035,0.024,0.452,0.513
1,2,3,422,422,1,0,0,1,1,1,1,1.305,0.889,0.333,0.630
1,2,3,423,423,2,0,0,2,4,1,1,1.487,3.179,0.285,0.476
1,2,3,424,424,4,0,0,4,2,1,1,1.140,2.703,0.202,0.364
1,2,3,425,425,2,0,0,2,4,1,1,1.480,0.241,0.376,0.328
1,2,3,426,426,2,1,0,2,4,1,1,1.054,2.758,0.363,0.420
1,2,3,427,427,1,0,0,3,3,1,0,1.381,0.733,0.269,0.449
1,2,3,428,428,4,1,0,4,2,1,1,1.150,2.492,0.263,0.368
1,2,3,429,429,1,0,0,2,4,1,5.000000e-01,1.379,0.264,0.281,0.485
1,2,3,430,430,3,0,0,1,1,1,0,1.242,1.033,0.356,0.470
1,2,3,431,431,2,1,0,3,3,1,0,1.317,0.406,0.212,0.290
1,2,3,432,432,2,0,0,2,4,1,1,1.253,0.326,0.460,0.552
1,2,3,433,433,1,0,0,4,2,1,0,1.355,2.663,0.199,0.947
1,2,3,434,434,2,0,0,2,4,1,1,1.475,0.368,0.384,0.555
1,2,3,435,435,4,0,0,3,3,1,5.000000e-01,1.278,4.406,0.348,0.668
1,2,3,436,436,2,1,0,4,2,1,0,1.246,0.940,0.341,0.498
1,2,3,437,437,3,0,0,4,2,2,5.000000e-01,1.243,3.496,0.720,0.499
1,2,3,438,438,2,0,0,2,4,1,1,1.359,2.028,0.161,0.310
1,2,3,439,439,1,0,0,2,4,1,5.000000e-01,1.468,0.103,0.202,0.464
1,2,3,440,440,4,0,0,2,4,1,0,1.006,6.278,0.462,0.419
