seqID,iSession,iRun,iTrial,stiID,feature1_name,feature2_name,feature3_name,feature4_name,feature1,feature2,feature3,feature4,category,ambiguous,miss,choice,presskey,rating,feedback,fixDU,choRT,rateRT,fdbDU
1,1,1,1,1,green,yellow,pink,blue,0.338540307617467,0.249531275589439,0.477226975418779,0.656601421582224,1,1,0,1,2,1,1,1.311,0.512,1.888,2.975
1,1,1,2,2,green,yellow,pink,blue,0.193323880727257,0.340363744753379,0.955913489733858,0.55547155083189,1,0,0,2,3,1,0.5,1.041,1.373,1.554,2.004
1,1,1,3,3,green,yellow,pink,blue,0.182550236718842,0.600126070319594,0.638884508750067,0.951751408155542,2,0,0,2,3,1,1,1.133,1.162,1.244,1.882
1,1,1,4,4,green,yellow,pink,blue,0.736529729451832,0.772264406378498,0.285717449112933,0.649631249371428,3,0,0,3,1,2,1,1.268,1.789,1.723,1.589
1,1,1,5,5,green,yellow,pink,blue,0.372588055010565,0.314297241599861,0.0839876034528789,0.684813055013724,1,0,0,2,3,2,0.5,1.475,4.632,2.33,1.242
1,1,1,6,6,green,yellow,pink,blue,0.667858827384855,0.545615197730496,0.711283365753476,0.135772361184586,4,1,0,4,4,1,1,1.479,2.493,0.941,1.162
1,1,1,7,7,green,yellow,pink,blue,0.620496807396374,0.000167333220274402,0.319220219016344,0.333971195463847,3,0,0,2,3,1,0,1.072,1.686,0.95,1.258
1,1,1,8,8,green,yellow,pink,blue,0.777020195962353,0.955800198159682,0.166473724211922,0.96209055528601,3,0,0,3,1,3,1,1.482,1.613,3.215,1.633
1,1,1,9,9,green,yellow,pink,blue,0.380615452356077,0.78251600563847,0.522987240270632,0.870633086768111,2,1,0,2,3,1,1,1.475,0.641,2.392,1.271
1,1,1,10,10,green,yellow,pink,blue,0.760644250042984,0.381570223641606,0.875618999723335,0.336988074376244,4,0,0,4,4,2,1,1.237,2.874,1.351,1.023
1,1,1,11,11,green,yellow,pink,blue,0.838391789117747,0.858345353961738,0.335890646698906,0.948998357808051,3,0,0,3,1,3,1,1.396,3.108,1.379,0.594
1,1,1,12,12,green,yellow,pink,blue,0.602709013562678,0.0831554573819205,0.875800907274642,0.441276481977924,4,0,0,1,2,3,0,1.064,0.296,2.035,1.169
1,1,1,13,13,green,yellow,pink,blue,0.281418491488066,0.858459047382738,0.0955347181010384,0.00265739565723289,2,0,0,1,2,3,0.5,1.205,2.24,0.845,1.154
1,1,1,14,14,green,yellow,pink,blue,0.150655375091456,0.376805873557448,0.421078492268306,0.913102638265413,1,0,0,2,3,1,0.5,1.454,2.976,1.211,0.817
1,1,1,15,15,green,yellow,pink,blue,0.693348700285336,0.611351033805061,0.136319284438865,0.291474836337739,3,0,0,3,1,2,1,1.392,0.352,1.87,0.755
1,1,1,16,16,green,yellow,pink,blue,0.757044097576085,0.83905846635311,0.567999560951486,0.622812243556119,4,0,0,1,2,2,0,1.476,3.626,0.815,0.746
1,1,1,17,17,green,yellow,pink,blue,0.60858867500497,0.747809997257011,0.103040891831042,0.651572314951661,3,0,0,3,1,3,1,1.323,1.179,1.009,0.371
1,1,1,18,18,green,yellow,pink,blue,0.635319193290866,0.80529598019842,0.792754487111617,0.888868229574326,4,0,0,1,2,1,0,1.01,1.547,2.21,0.708
1,1,1,19,19,green,yellow,pink,blue,0.854162597098904,0.487356690115702,0.706066266637805,0.576423571807912,4,1,0,1,2,1,0,1.42,1.186,0.692,0.537
1,1,1,20,20,green,yellow,pink,blue,0.839824250248795,0.239659340311907,0.238782862798406,0.751914802202189,3,0,0,3,1,1,1,1.463,0.336,0.851,0.443
1,1,1,21,21,green,yellow,pink,blue,0.404435093867519,0.36767295259649,0.952379627664773,0.819934006911178,1,0,0,1,2,1,1,1.334,0.888,3.5,2.011
1,1,1,22,22,green,yellow,pink,blue,0.510888498745883,0.357142096135755,0.370324906133733,0.733827784440533,3,1,0,1,2,1,0,1.374,4.104,0.719,0.497
1,1,1,23,23,green,yellow,pink,blue,0.986569246990042,0.523011178614968,0.789039117811581,0.185858357907612,4,1,0,4,4,1,1,1.367,1.712,1.003,0.401
1,1,1,24,24,green,yellow,pink,blue,0.337122320524509,0.479627198939952,0.418474674850211,0.969212765288818,1,1,0,2,3,1,0.5,1.19,1.328,1.217,0.601
1,1,1,25,25,green,yellow,pink,blue,0.686134119203102,0.507540584345851,0.316507760247758,0.326847594793022,3,1,0,1,2,2,0,1.323,7.117,0.749,0.473
1,1,1,26,26,green,yellow,pink,blue,0.725235744179621,0.0341359355628322,0.834202843911858,0.369464731354038,4,0,0,1,2,1,0,1.078,4.28,3.09,0.395
1,1,1,27,27,green,yellow,pink,blue,0.982506255172626,0.119313042046731,0.807252059818017,0.0819532909704777,4,0,0,4,4,1,1,1.348,1.163,2.161,0.419
1,1,1,28,28,green,yellow,pink,blue,0.973886172477944,0.996181048149038,0.801143335790506,0.64529843031441,4,0,0,1,2,2,0,1.008,4.782,1.332,0.617
1,1,1,29,29,green,yellow,pink,blue,0.300812376905953,0.14568796088802,0.173852804439967,0.127067779393876,1,0,0,1,2,1,1,1.132,0.594,0.842,0.661
1,1,1,30,30,green,yellow,pink,blue,0.204512657547971,0.950021798758643,0.848029479466423,0.090010040683454,2,0,0,4,4,1,0,1.015,2.238,0.84,0.45
1,1,1,31,31,green,yellow,pink,blue,0.302941199456475,0.390105922880454,0.971689901046317,0.597108864573855,1,0,0,3,1,1,0,1.041,5.414,2.868,0.403
