condition,seqID,iSession,iRun,iTrial,stiID,category,ambiguous,miss,choice,presskey,rating,feedback,fixDU,choRT,rateRT,fdbDU
3,2,1,1,1,1,2,0,0,2,1,1,1.0,1.865,5.183,1.562,5.0
3,2,1,1,2,2,3,0,0,1,4,1,0.0,1.848,3.904,2.695,5.416
3,2,1,1,3,3,2,0,0,2,1,3,1.0,1.999,5.011,1.905,3.536
3,2,1,1,4,4,3,0,0,4,2,2,0.5,2.184,6.45,4.381,6.642
3,2,1,1,5,5,2,0,0,3,3,1,0.0,1.936,8.772,4.122,6.268
3,2,1,1,6,6,4,0,0,4,2,2,1.0,2.034,10.097,1.726,6.577
3,2,1,1,7,7,3,0,0,3,3,1,1.0,1.89,7.794,1.501,6.857
3,2,1,1,8,8,2,1,0,2,1,3,1.0,2.101,3.026,1.525,5.598
3,2,1,1,9,9,2,0,0,2,1,3,1.0,1.902,4.093,1.178,3.329
3,2,1,1,10,10,1,1,0,1,4,2,1.0,2.002,6.092,2.289,9.183
3,2,1,1,11,11,4,0,0,1,4,1,0.0,2.08,6.511,2.453,6.239
3,2,1,1,12,12,1,0,0,3,3,1,0.0,2.156,13.098,1.352,6.819
3,2,1,1,13,13,1,0,0,1,4,2,1.0,2.184,14.454,1.651,9.259
3,2,1,1,14,14,3,0,0,4,2,2,0.5,2.019,6.803,2.1,7.951
3,2,1,1,15,15,3,0,0,3,3,2,1.0,1.855,10.232,1.482,8.291
3,2,1,2,16,16,3,0,0,3,3,3,1.0,1.86,3.22,1.295,4.78
3,2,1,2,17,17,1,0,0,4,2,2,0.0,1.903,5.56,0.732,3.407
3,2,1,2,18,18,1,1,0,4,2,2,0.0,2.136,5.47,2.996,4.348
3,2,1,2,19,19,2,0,0,4,2,1,0.0,1.902,7.321,0.712,1.828
3,2,1,2,20,20,2,1,0,2,1,3,1.0,2.126,2.057,0.811,2.687
3,2,1,2,21,21,1,0,0,1,4,2,1.0,1.897,1.902,1.326,2.322
3,2,1,2,22,22,2,0,0,2,1,2,1.0,2.172,6.947,0.807,2.111
3,2,1,2,23,23,1,0,0,2,1,2,0.5,1.94,3.571,0.867,5.596
3,2,1,2,24,24,2,0,0,1,4,2,0.5,1.879,9.377,1.578,5.469
3,2,1,2,25,25,2,1,0,2,1,2,1.0,1.9,6.034,0.818,3.491
3,2,1,2,26,26,3,0,0,1,4,3,0.0,2.046,3.4,2.144,3.176
3,2,1,2,27,27,1,0,0,3,3,2,0.0,1.989,9.489,1.478,2.162
3,2,1,2,28,28,1,0,0,2,1,2,0.5,1.941,1.266,1.215,3.87
3,2,1,2,29,29,3,1,0,4,2,2,0.5,2.132,7.018,0.837,3.114
