condition,iSession,iBlock,iTrial,stiID,probCat1,probCat2,ambiguous,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,1,1,58,0.056,0.944,0,1,2,3,0,7.787,1.618,5.666
1,1,1,2,42,0.074,0.926,0,1,2,6,1,19.342,2.512,7.559
1,1,1,3,32,0.074,0.926,0,1,2,5,0,10.645,2.796,9.262
1,1,1,4,29,0.546,0.454,0,2,1,6,1,44.973,0.608,8.513
1,1,1,5,61,0.06,0.94,0,2,1,6,1,13.891,6.474,5.211
1,1,1,6,34,0.083,0.917,1,1,2,5,0,14.846,0.523,8.119
1,1,1,7,7,0.836,0.164,0,2,1,2,0,56.452,2.156,12.111
1,1,1,8,54,0.973,0.027,0,2,1,3,0,48.584,2.308,13.313
1,1,1,9,59,0.916,0.084,0,1,2,2,1,12.366,2.398,15.422
1,1,1,10,60,0.381,0.619,0,1,2,3,0,8.77,2.331,11.938
1,1,1,11,21,0.268,0.732,0,1,2,1,0,18.553,1.277,7.793
1,1,1,12,62,0.343,0.657,0,1,2,2,0,14.894,2.393,5.429
1,1,1,13,15,0.01,0.99,0,1,2,1,0,26.717,1.447,7.686
1,1,1,14,8,0.026,0.974,0,1,2,1,0,26.374,1.118,4.612
1,1,1,15,27,0.857,0.143,0,1,2,3,1,8.046,2.004,7.174
1,1,1,16,33,0.728,0.272,0,1,2,2,1,28.62,1.175,6.661
1,1,1,17,36,0.494,0.506,0,1,2,2,0,11.266,1.471,7.8
1,1,1,18,12,0.78,0.22,1,2,1,1,1,20.09,1.815,12.671
1,1,1,19,3,0.845,0.155,0,2,1,2,0,18.575,0.353,15.092
1,1,1,20,47,0.13,0.87,0,2,1,3,1,6.797,1.751,5.891
1,1,1,21,44,0.657,0.343,0,1,2,3,0,21.22,1.66,6.581
1,1,1,22,2,0.947,0.053,0,1,2,2,1,87.461,1.36,5.262
1,1,1,23,56,0.94,0.06,0,1,2,1,0,18.283,1.169,9.358
1,1,1,24,55,0.932,0.068,0,1,2,1,0,24.833,1.311,4.162
1,1,1,25,5,0.063,0.937,0,1,2,3,0,12.3,2.841,6.127
1,1,1,26,19,0.897,0.103,0,1,2,3,1,1.849,1.65,4.999
1,1,1,27,64,0.888,0.112,0,1,2,3,1,3.251,2.067,4.896
1,1,1,28,22,0.11,0.89,0,2,1,6,1,8.541,0.808,5.333
1,1,1,29,38,0.127,0.873,1,2,1,2,1,47.998,0.425,10.723
1,1,1,30,28,0.092,0.908,0,1,2,3,0,10.02,1.446,6.359
1,1,1,31,31,0.958,0.042,0,1,2,3,1,10.381,1.512,4.466
