condition,iSession,iBlock,iTrial,stiID,probCat1,probCat2,ambiguous,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,1,1,46,0.196,0.804,0,1,1,1,1,19.171,2.07,28.245
1,1,1,2,20,0.563,0.437,1,2,2,6,1,5.003,2.21,54.254
1,1,1,3,51,0.279,0.721,0,1,1,3,0,5.96,1.613,36.054
1,1,1,4,31,0.956,0.044,0,2,2,6,0,1.084,1.38,26.993
1,1,1,5,24,0.95,0.05,0,2,2,4,0,3.639,3.367,27.125
1,1,1,6,53,0.981,0.019,0,2,2,4,0,4.696,1.573,22.186
1,1,1,7,11,0.785,0.215,0,1,1,4,0,6.4,1.859,41.594
1,1,1,8,37,0.917,0.083,0,2,2,1,0,22.166,1.506,24.381
1,1,1,9,4,0.988,0.012,0,1,1,1,1,15.53,1.376,25.999
1,1,1,10,32,0.963,0.037,0,2,2,1,0,3.908,2.545,26.067
1,1,1,11,39,0.85,0.15,0,1,1,2,1,4.509,9.084,31.383
1,1,1,12,48,0.739,0.261,0,2,2,2,0,6.678,1.77,39.441
1,1,1,13,40,0.098,0.902,0,2,2,6,1,9.524,2.184,29.711
1,1,1,14,21,0.093,0.907,0,2,2,6,1,4.239,1.816,31.663
1,1,1,15,58,0.645,0.355,0,1,1,6,0,1.57,1.143,23.985
1,1,1,16,62,0.072,0.928,0,1,1,3,0,22.363,2.079,25.291
1,1,1,17,63,0.453,0.547,1,2,2,3,0,17.828,9.805,12.233
1,1,1,18,47,0.042,0.958,0,2,2,3,1,16.066,1.737,32.318
1,1,1,19,34,0.041,0.959,0,2,2,3,1,28.579,1.062,27.74
1,1,1,20,60,0.782,0.218,0,2,2,1,0,10.154,1.221,23.672
1,1,1,21,1,0.65,0.35,0,1,1,1,1,5.668,1.162,23.712
1,1,1,22,41,0.194,0.806,0,1,1,1,0,3.563,2.712,30.388
1,1,1,23,9,0.946,0.054,0,1,1,1,1,3.429,1.757,24.614
1,1,1,24,56,0.521,0.479,1,2,2,1,0,1.204,1.063,31.613
1,1,1,25,61,0.846,0.154,0,2,2,1,0,1.674,1.121,33.027
1,1,1,26,50,0.05,0.95,0,1,1,1,0,5.035,1.033,35.174
1,1,1,27,19,0.689,0.311,0,1,1,1,1,35.217,1.545,26.69
1,1,1,28,43,0.053,0.947,0,1,1,1,0,9.797,1.478,18.249
1,1,1,29,26,0.021,0.979,0,2,2,1,1,10.059,1.251,26.494
1,1,1,30,64,0.903,0.097,0,1,1,1,1,6.842,1.96,17.626
1,1,1,31,22,0.364,0.636,0,2,2,1,0,14.447,1.26,29.594
1,1,1,32,3,0.07,0.93,0,2,2,1,1,27.546,1.269,23.392
1,1,1,33,59,0.181,0.819,0,2,2,1,1,1.868,1.649,24.255
1,1,1,34,27,0.026,0.974,0,1,1,1,0,3.079,1.191,25.143
1,1,1,35,49,0.922,0.078,0,2,2,1,0,23.266,1.177,29.894
1,1,1,36,52,0.051,0.949,0,1,1,1,1,7.074,1.215,27.141
1,1,1,37,23,0.036,0.964,0,1,1,1,0,9.292,1.522,27.347
1,1,1,38,5,0.076,0.924,0,2,2,1,1,12.24,1.543,27.28
1,1,1,39,6,0.844,0.156,0,1,1,1,1,1.847,1.328,23.038
1,1,1,40,57,0.801,0.199,0,2,2,1,1,6.392,1.218,33.114
1,1,1,41,28,0.442,0.558,1,2,2,3,1,2.73,1.495,30.58
1,1,1,42,10,0.957,0.043,0,1,1,1,1,3.032,1.147,26.093
1,1,1,43,55,0.243,0.757,0,1,1,1,0,5.974,1.312,32.229
1,1,1,44,35,0.583,0.417,1,1,1,1,1,3.206,1.248,15.771
1,1,1,45,29,0.953,0.047,0,2,2,1,0,8.908,29.387,18.481
1,1,1,46,17,0.415,0.585,1,1,1,1,1,15.804,1.773,17.224
1,1,1,47,33,0.061,0.939,0,2,2,2,1,11.515,0.951,13.921
1,1,1,48,8,0.385,0.615,0,2,2,2,1,5.478,1.197,29.978
1,1,1,49,38,0.239,0.761,0,2,2,2,1,2.632,1.199,23.569
1,1,1,50,12,0.95,0.05,0,2,2,2,0,3.413,1.316,22.485
1,1,1,51,42,0.333,0.667,0,1,1,2,0,3.138,1.189,30.306
1,1,1,52,13,0.677,0.323,0,2,2,1,0,2.523,1.239,13.362
1,1,1,53,2,0.797,0.203,0,2,2,1,1,7.945,1.252,0.014
1,1,1,54,15,0.938,0.062,0,1,1,1,1,15.093,1.186,15.631
1,1,1,55,16,0.026,0.974,0,1,1,1,0,21.482,1.32,15.628
1,1,1,56,30,0.95,0.05,0,2,2,1,0,4.291,1.839,11.892
1,1,1,57,25,0.941,0.059,0,1,1,2,1,5.874,1.262,18.124
1,1,1,58,54,0.147,0.853,0,2,2,1,1,24.155,1.926,26.118
1,1,1,59,14,0.071,0.929,0,1,1,2,0,2.975,1.241,21.076
1,1,1,60,45,0.008,0.992,0,2,2,1,1,18.596,1.343,23.053
1,1,1,61,36,0.755,0.245,0,2,2,1,0,16.534,1.208,21.824
1,1,1,62,44,0.855,0.145,0,1,1,2,1,4.055,1.741,24.905
1,1,1,63,7,0.054,0.946,0,2,2,1,1,10.6,1.584,24.425
1,1,1,64,18,0.119,0.881,0,2,2,1,1,8.894,1.676,27.262
1,1,2,65,106,0.87,0.13,0,1,1,2,0,3.42,4.394,31.174
1,1,2,66,105,0.052,0.948,0,1,1,2,0,8.354,1.108,17.734
1,1,2,67,115,0.132,0.868,0,1,1,2,0,4.674,1.105,26.265
1,1,2,68,95,0.103,0.897,0,1,1,2,0,37.115,1.135,16.69
1,1,2,69,86,0.966,0.034,0,1,1,2,1,2.282,1.177,17.755
1,1,2,70,124,0.954,0.046,0,1,1,1,1,2.09,0.975,23.376
1,1,2,71,102,0.946,0.054,0,1,1,1,1,6.524,1.114,23.109
1,1,2,72,88,0.046,0.954,0,1,1,1,0,5.138,1.231,16.389
1,1,2,73,123,0.19,0.81,0,2,2,3,1,7.216,1.219,21.022
1,1,2,74,110,0.944,0.056,0,2,2,4,0,12.939,1.042,20.696
1,1,2,75,78,0.534,0.466,1,1,1,2,1,4.01,1.156,30.251
1,1,2,76,108,0.427,0.573,1,2,2,3,0,10.619,1.151,16.438
1,1,2,77,85,0.037,0.963,0,2,2,5,1,8.885,1.148,20.141
1,1,2,78,127,0.908,0.092,0,1,1,1,1,3.198,1.409,12.903
1,1,2,79,70,0.041,0.959,0,2,2,3,1,1.696,1.135,19.647
1,1,2,80,117,0.931,0.069,0,1,1,3,1,2.521,1.048,27.213
1,1,2,81,65,0.104,0.896,0,2,2,4,1,2.991,1.26,13.277
1,1,2,82,111,0.394,0.606,0,2,2,4,0,5.327,1.02,15.282
1,1,2,83,72,0.376,0.624,0,2,2,3,1,1.588,1.166,16.685
1,1,2,84,112,0.108,0.892,0,2,2,5,1,2.571,1.174,24.445
1,1,2,85,73,0.096,0.904,0,1,1,3,0,7.86,1.108,18.816
1,1,2,86,114,0.026,0.974,0,2,2,3,1,1.766,1.122,20.018
1,1,2,87,87,0.488,0.512,1,2,2,3,1,2.254,0.928,16.463
1,1,2,88,92,0.826,0.174,0,1,1,2,1,1.264,1.033,15.939
1,1,2,89,101,0.914,0.086,0,1,1,2,1,1.301,1.029,23.283
1,1,2,90,113,0.121,0.879,0,2,2,6,1,0.824,1.242,20.815
1,1,2,91,125,0.935,0.065,0,1,1,4,1,1.095,0.949,19.263
1,1,2,92,121,0.874,0.126,0,1,1,6,1,1.146,0.382,18.137
1,1,2,93,67,0.231,0.769,0,2,2,5,1,1.237,1.159,10.985
1,1,2,94,84,0.042,0.958,0,2,2,6,1,1.366,1.138,17.045
1,1,2,95,104,0.091,0.909,0,2,2,4,0,3.828,1.133,16.111
1,1,2,96,100,0.868,0.132,0,2,2,5,0,2.551,1.522,13.421
1,1,2,97,109,0.107,0.893,0,2,2,4,1,12.922,2.838,24.007
1,1,2,98,81,0.052,0.948,0,2,2,4,1,2.322,1.344,10.162
1,1,2,99,99,0.976,0.024,0,1,1,6,1,1.269,1.677,11.12
1,1,2,100,90,0.019,0.981,0,2,2,6,1,1.354,1.359,10.502
1,1,2,101,116,0.589,0.411,1,2,2,5,1,0.98,1.464,10.409
1,1,2,102,126,0.919,0.081,0,2,2,3,0,5.442,1.044,12.662
1,1,2,103,119,0.265,0.735,0,2,2,4,1,1.329,1.295,21.925
1,1,2,104,107,0.093,0.907,0,2,2,4,1,0.889,1.089,10.247
1,1,2,105,120,0.93,0.07,0,1,1,6,1,2.202,1.077,10.988
1,1,2,106,76,0.608,0.392,0,1,1,1,1,1.792,1.947,13.097
1,1,2,107,75,0.105,0.895,0,1,1,1,0,6.93,2.081,18.92
1,1,2,108,122,0.034,0.966,0,1,1,3,0,1.712,0.974,16.55
1,1,2,109,97,0.344,0.656,0,1,1,3,1,4.034,1.123,18.533
1,1,2,110,66,0.794,0.206,0,2,2,6,0,1.565,1.144,9.811
1,1,2,111,103,0.782,0.218,0,1,1,4,1,4.762,1.087,13.705
1,1,2,112,82,0.658,0.342,0,2,2,5,1,1.786,1.333,9.866
1,1,2,113,93,0.881,0.119,0,1,1,3,1,1.559,1.403,23.39
1,1,2,114,74,0.883,0.117,0,2,2,4,0,7.45,1.722,8.661
1,1,2,115,71,0.687,0.313,0,2,2,3,0,1.676,1.14,11.165
1,1,2,116,118,0.048,0.952,0,2,2,3,1,4.775,1.611,10.292
1,1,2,117,79,0.355,0.645,0,2,2,3,0,3.502,1.437,13.506
1,1,2,118,83,0.89,0.11,0,1,1,4,1,10.12,1.718,10.398
1,1,2,119,98,0.867,0.133,0,2,2,3,0,1.23,1.183,9.854
1,1,2,120,96,0.702,0.298,0,1,1,3,1,10.531,1.318,11.84
1,1,2,121,128,0.961,0.039,0,2,2,4,0,1.351,1.212,12.755
1,1,2,122,80,0.937,0.063,0,1,1,4,1,7.869,1.036,9.9
1,1,2,123,91,0.926,0.074,0,1,1,2,1,4.944,1.07,14.854
1,1,2,124,68,0.281,0.719,0,1,1,2,0,2.357,1.145,12.939
1,1,2,125,69,0.326,0.674,0,1,1,2,0,6.734,1.522,23.74
1,1,2,126,94,0.962,0.038,0,1,1,2,1,2.742,1.26,15.68
1,1,2,127,89,0.656,0.344,0,2,2,3,0,2.458,3.026,15.19
1,1,2,128,77,0.153,0.847,0,2,2,2,1,10.055,1.289,10.556
1,1,3,129,187,0.94,0.06,0,1,1,1,1,15.483,1.376,13.004
1,1,3,130,180,0.73,0.27,0,2,2,1,1,4.6,1.334,12.149
1,1,3,131,131,0.935,0.065,0,1,1,1,1,14.307,1.266,11.617
1,1,3,132,141,0.807,0.193,0,2,2,2,0,7.546,2.022,19.368
1,1,3,133,134,0.915,0.085,0,2,2,2,0,45.845,1.317,16.42
1,1,3,134,166,0.152,0.848,0,2,2,1,1,10.662,1.414,7.253
1,1,3,135,170,0.913,0.087,0,1,1,1,1,3.274,1.347,6.539
1,1,3,136,160,0.083,0.917,0,1,1,1,0,11.003,1.285,11.29
1,1,3,137,161,0.374,0.626,0,2,2,1,0,12.264,1.849,7.078
1,1,3,138,137,0.95,0.05,0,1,1,1,1,18.914,1.632,9.411
1,1,3,139,149,0.437,0.563,1,2,2,1,1,43.332,1.802,13.273
1,1,3,140,179,0.042,0.958,0,2,2,1,1,5.869,1.317,6.901
1,1,3,141,162,0.968,0.032,0,1,1,3,1,2.49,1.784,7.602
1,1,3,142,139,0.081,0.919,0,2,2,3,1,2.243,2.733,6.566
1,1,3,143,163,0.049,0.951,0,1,1,2,0,6.949,1.2,6.245
1,1,3,144,177,0.781,0.219,0,1,1,3,1,22.302,1.006,5.446
1,1,3,145,140,0.776,0.224,0,2,2,3,0,1.682,1.079,5.738
1,1,3,146,136,0.038,0.962,0,2,2,1,1,15.742,0.978,5.035
1,1,3,147,138,0.546,0.454,1,1,1,2,0,45.308,1.123,6.015
1,1,3,148,158,0.865,0.135,0,1,1,1,1,24.495,1.151,22.208
1,1,3,149,154,0.966,0.034,0,2,2,1,0,33.327,1.75,6.315
1,1,3,150,153,0.677,0.323,0,1,1,3,0,7.591,1.48,5.788
