stiID,body_length,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category,ambigous1,ambigous2
1,1,1,0.644265270928778,0.940616606008378,0.620335081265674,0.551049388130621,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
2,1,1,0.493286300289133,0.981305386125913,0.343127388974943,0.313160446264998,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
3,1,1,0.661850531898316,0.991680137355294,0.389764285234441,0.58248608914996,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
4,1,-1,0.643082536229565,1.23444503929443,0.647081096705723,0.640195506341045,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
5,1,1,0.675813753327912,0.296293675271264,0.6002879605484,0.283988226277426,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
6,1,1,0.524276786077074,0.380780885920028,0.407195618702391,0.273815814464615,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
7,1,1,0.587297221130524,0.450834187540259,0.339776115995919,0.353973833063951,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
8,1,-1,0.646316926831468,0.742519230773035,0.577486361915595,0.435137382125415,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
9,1,-1,0.512035997859724,1.03061009448267,0.841768265483037,0.604993911270825,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,0,0
10,1,1,0.304165945969234,0.716829590659342,0.78300298426804,0.691975415180428,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,1,1
11,1,1,0.560567753332746,0.539395303784053,1.06152308837719,0.451845697037211,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,0,0
12,1,1,0.566847991498565,0.683019376539301,1.15720773457024,0.459939685675987,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,0,0
13,1,1,0.496944169335418,0.783825545114417,1.06483041100607,0.729801009808848,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,0,1
14,1,1,0.510594439949846,0.913017078928693,1.15078458222448,0.662424218491482,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,0,0
15,1,1,0.503648157475926,0.907719735791602,0.885212600928051,0.652646613325071,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,0,0
16,1,1,0.36602065552805,0.909787859866773,1.19591811960153,0.357986248607791,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,3,0,0
17,1,-1,0.401800540352468,1.1214201085433,0.44885612811528,1.19825178141723,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
18,1,1,0.356164593904746,0.744735087167144,0.550778680893917,1.1580424249304,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
19,1,1,0.48957877360515,1.15447648254944,0.513971956911256,0.814834518831037,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
20,1,-1,0.665116110465398,0.883877619922171,0.458951655086405,0.838689929845635,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
21,1,1,0.360705817125748,0.465866721547172,0.723155553307912,0.811108135873375,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,1,1
22,1,-1,0.715100561901747,0.664448974061591,0.730649748431296,0.946561692005241,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,1,1
23,1,-1,0.687562113126412,0.624599670959751,0.372751221842991,1.06832313151333,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
24,1,-1,0.688093410989568,0.321594174247769,0.377587874014643,1.07033349459446,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,1,0,0
25,1,-1,0.276595852214671,0.281942231421633,1.00111414638732,1.00865743778643,-0.523598775598299,0.523598775598299,1.22173047639603,-0.261799387799149,4,0,0
