neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,timestamp
0.50667150891951,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924360
0.51054683884477,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924367
0.51442202085838,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924377
0.52493502353578,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924387
0.52880966926626,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924397
0.54322032983436,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924407
0.55762998014194,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924417
0.56543114229969,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924427
0.57594382908471,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924437
0.57981672342188,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924447
0.59032932805183,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924463
0.59420176672162,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924471
0.60199825634473,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924497
0.60866860412153,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924507
0.61254048392541,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924517
0.62033477834662,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924527
0.62420631484087,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924541
0.62807773942038,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924567
0.6385900878661,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924597
0.64246110515793,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924607
0.65686467006364,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924617
0.66353450049407,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924627
0.68070469267062,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924637
0.68737431718328,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924647
0.69404388594896,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924661
0.7084447855494,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1734157924670
