iSub,iSession,iTrial,text,invalid,noinfo,neck_value,head_value,leg_value,tail_value
21,1,1,尾巴和脖子长。,0,0,3.0,,,3.0
21,1,2,腿长。,0,0,,,3.0,
21,1,3,头长。,0,0,,3.0,,
21,1,4,腿长。,0,0,,,3.0,
21,1,5,头和尾巴长。,0,0,,3.0,,3.0
21,1,6,腿长。,0,0,,,3.0,
21,1,7,头长。,0,0,,3.0,,
21,1,8,头长。,0,0,,3.0,,
21,1,9,头长，尾巴长。,0,0,,3.0,,3.0
21,1,10,四肢均衡。,0,1,,,,
21,1,11,腿长。,0,0,,,3.0,
21,1,12,头、尾巴长，腿短。,0,0,,3.0,1.0,3.0
21,1,13,头长。,0,0,,3.0,,
21,1,14,头、脖子、尾巴长。,0,0,3.0,3.0,,3.0
21,1,15,腿长。,0,0,,,3.0,
21,1,16,腿长，头长。,0,0,,3.0,3.0,
21,1,17,腿长，头短。,0,0,,1.0,3.0,
21,1,18,腿长，头短。,0,0,,1.0,3.0,
21,1,19,腿短，其他地方都长。,0,0,3.0,3.0,1.0,3.0
21,1,20,头短，其他地方中等。,0,0,2.0,1.0,2.0,2.0
21,1,21,头长，腿短。,0,0,,3.0,1.0,
21,1,22,腿长，头长，脖子长。,0,0,3.0,3.0,3.0,
21,1,23,头长。,0,0,,3.0,,
21,1,24,头长，尾巴长。,0,0,,3.0,,3.0
21,1,25,头长，尾巴长，腿也还行。,0,0,,3.0,,3.0
21,1,26,腿最短。,0,0,,,1.0,
21,1,27,腿最长。,0,0,,,3.0,
21,1,28,腿跟头一样长。,0,0,,3.0,3.0,
21,1,29,躯干长，头短。,0,0,,1.0,,
21,1,30,头很长。,0,0,,3.0,,
21,1,31,头和脖子很长。,0,0,3.0,3.0,,
21,1,32,腿长，四肢均衡。,0,0,,,3.0,
21,1,33,四肢很均衡。,0,1,,,,
21,1,34,头和尾巴特别长。,0,0,,3.0,,3.0
21,1,35,四肢很均衡。,0,1,,,,
21,1,36,腿长，头和尾巴短。,0,0,,1.0,3.0,1.0
21,1,37,四肢都长。,0,1,,,,
21,1,38,四肢很均衡。,0,1,,,,
21,1,39,腿和头长。,0,0,,3.0,3.0,
21,1,40,腿和头一样长。,0,0,,3.0,3.0,
21,1,41,腿和头长。,0,0,,3.0,3.0,
21,1,42,腿和头长。,0,0,,3.0,3.0,
