iSession,iTrial,neck_use,head_use,leg_use,tail_use
1,1,1,0,0,1
1,2,0,0,1,0
1,3,0,1,0,0
1,4,0,0,1,0
1,5,0,1,0,1
1,6,0,0,1,0
1,7,0,1,0,0
1,8,0,1,0,0
1,9,0,1,0,1
1,10,0,0,0,0
1,11,0,0,1,0
1,12,0,1,1,1
1,13,0,1,0,0
1,14,1,1,0,1
1,15,0,0,1,0
1,16,0,1,1,0
1,17,0,1,1,0
1,18,0,1,1,0
1,19,0,0,1,0
1,20,0,1,0,0
1,21,0,1,1,0
1,22,1,1,1,0
1,23,0,1,0,0
1,24,0,1,0,1
1,25,0,1,1,1
1,26,0,0,1,0
1,27,0,0,1,0
1,28,0,1,1,0
1,29,0,1,0,0
1,30,0,1,0,0
1,31,1,1,0,0
1,32,0,0,1,0
1,33,0,0,0,0
1,34,0,1,0,1
1,35,0,0,0,0
1,36,0,1,1,1
1,37,0,0,0,0
1,38,0,0,0,0
1,39,0,1,1,0
1,40,0,1,1,0
1,41,0,1,1,0
1,42,0,1,1,0
1,43,1,1,1,0
1,44,1,0,0,0
1,45,0,0,1,0
1,46,0,1,1,0
1,47,0,1,1,0
1,48,0,1,1,0
1,49,0,0,1,0
1,50,0,0,1,0
1,51,0,0,0,1
1,52,0,0,0,0
1,53,0,1,1,0
1,54,0,0,1,0
1,55,0,1,0,1
1,56,1,1,0,0
1,57,0,0,0,0
1,58,0,0,1,0
1,59,0,1,0,1
1,60,1,1,0,0
1,61,1,1,0,0
1,62,1,1,0,1
1,63,0,0,1,0
1,64,1,1,0,0
1,65,0,1,0,1
1,66,0,0,1,0
1,67,0,1,0,0
1,68,1,1,0,0
1,69,0,0,1,0
1,70,1,1,0,0
1,71,1,1,0,0
1,72,1,1,0,0
1,73,0,0,0,0
1,74,1,1,0,0
1,75,1,0,0,0
1,76,1,1,0,0
1,77,0,0,0,1
1,78,1,1,0,0
1,79,0,0,1,0
1,80,0,1,1,1
1,81,1,0,0,0
1,82,0,1,1,0
1,83,0,1,1,0
1,84,0,1,1,0
1,85,0,0,1,0
1,86,0,0,0,1
1,87,1,1,0,0
1,88,0,0,1,0
1,89,0,0,1,0
1,90,0,0,0,0
1,91,0,1,0,0
1,92,0,0,1,0
1,93,0,0,1,0
1,94,1,1,0,0
1,95,0,0,1,0
1,96,0,0,0,0
1,97,0,0,1,0
1,98,0,0,1,0
1,99,1,0,0,0
1,100,1,0,0,0
1,101,1,1,0,0
1,102,0,0,1,0
1,103,0,1,0,0
1,104,1,0,1,0
1,105,0,0,1,1
1,106,1,1,0,0
1,107,0,0,1,0
1,108,0,0,1,0
1,109,0,0,1,0
1,110,1,1,0,0
1,111,0,1,0,0
1,112,1,0,1,0
1,113,0,0,0,0
1,114,0,1,1,0
1,115,1,1,1,0
1,116,0,0,1,0
1,117,0,1,1,0
1,118,1,0,1,0
1,119,0,1,1,0
1,120,1,1,0,0
1,121,1,1,0,0
1,122,0,0,0,1
1,123,0,0,0,1
1,124,1,1,0,0
1,125,1,1,0,0
1,126,1,0,1,0
1,127,1,0,1,0
1,128,1,1,0,0
1,129,0,1,0,0
1,130,0,0,0,0
1,131,0,0,1,0
1,132,1,1,0,0
1,133,0,0,1,0
1,134,0,0,1,1
1,135,1,1,0,0
1,136,1,1,0,0
1,137,1,0,0,1
1,138,1,0,0,1
1,139,0,0,1,0
1,140,0,1,0,0
1,141,0,1,1,0
1,142,0,1,1,1
1,143,1,1,1,1
1,144,0,0,1,1
1,145,1,0,1,0
1,146,0,0,0,1
1,147,0,0,0,1
1,148,0,1,0,0
1,149,1,1,0,0
1,150,1,1,0,1
1,151,0,1,0,0
1,152,0,0,1,0
1,153,1,1,0,0
1,154,0,0,0,0
1,155,0,0,1,0
1,156,1,0,0,0
1,157,0,1,0,0
1,158,1,0,1,0
1,159,0,0,1,0
1,160,0,0,1,1
1,161,1,1,0,0
1,162,0,1,0,1
1,163,0,1,0,1
1,164,0,1,1,0
1,165,0,0,1,0
1,166,1,1,0,0
1,167,1,1,0,0
1,168,0,0,0,1
1,169,0,1,0,0
1,170,0,0,1,1
1,171,1,1,0,0
1,172,0,1,1,0
1,173,1,1,0,0
1,174,1,1,0,0
1,175,1,1,0,0
1,176,0,1,1,0
1,177,1,0,0,0
1,178,0,1,0,0
1,179,1,0,0,0
1,180,1,0,0,0
1,181,0,1,1,0
1,182,1,1,0,0
1,183,1,0,1,0
1,184,0,0,1,1
1,185,1,0,0,1
1,186,1,1,0,0
1,187,0,1,1,0
1,188,0,1,1,0
1,189,0,0,1,0
1,190,0,1,0,1
1,191,1,0,1,0
1,192,1,0,0,1
1,193,1,0,0,1
1,194,0,0,1,1
1,195,0,1,0,0
1,196,1,0,1,0
1,197,0,1,0,0
1,198,0,1,0,0
1,199,1,0,0,0
1,200,1,1,0,0
1,201,1,1,0,0
1,202,1,0,0,0
1,203,0,1,0,0
1,204,0,0,1,1
1,205,0,1,1,0
1,206,0,1,1,0
1,207,0,1,1,0
1,208,0,1,0,0
1,209,0,1,0,1
1,210,1,0,1,0
1,211,1,1,0,0
1,212,0,1,0,1
1,213,0,0,1,1
1,214,1,1,0,0
1,215,0,1,1,0
1,216,1,0,0,0
1,217,1,0,1,0
1,218,1,0,1,0
1,219,0,1,0,0
1,220,0,1,0,0
1,221,0,1,0,0
1,222,0,1,0,0
1,223,1,0,1,0
1,224,0,0,1,0
1,225,1,0,0,0
1,226,0,1,1,0
1,227,0,1,1,0
1,228,0,1,0,1
1,229,1,1,0,0
1,230,0,0,1,0
1,231,0,1,0,0
1,232,0,0,1,0
1,233,1,0,1,0
1,234,0,0,1,0
1,235,1,0,0,0
1,236,1,1,0,0
1,237,1,0,0,0
1,238,1,0,0,0
1,239,1,0,0,0
1,240,1,0,1,0
1,241,0,0,1,0
1,242,1,0,0,0
1,243,1,1,0,0
1,244,0,0,1,0
1,245,1,0,0,0
1,246,0,1,1,0
1,247,0,1,1,0
1,248,0,0,1,0
1,249,0,1,0,0
1,250,1,0,0,0
1,251,1,1,0,0
1,252,1,0,1,0
1,253,1,0,1,0
1,254,0,1,1,0
1,255,0,1,1,0
1,256,1,0,1,0
1,257,0,1,0,1
1,258,1,0,0,0
1,259,0,1,0,0
1,260,1,1,0,0
1,261,1,0,0,0
1,262,1,0,0,0
1,263,1,1,0,0
1,264,1,0,1,0
1,265,0,1,1,0
1,266,0,1,1,0
1,267,1,0,0,0
1,268,0,1,0,0
1,269,1,0,0,0
1,270,1,0,0,0
1,271,0,1,1,0
1,272,1,1,0,0
1,273,0,1,0,0
1,274,1,0,0,0
1,275,0,0,1,0
1,276,0,1,0,0
1,277,0,0,1,0
1,278,0,1,0,0
1,279,0,0,1,0
1,280,0,1,1,0
1,281,0,0,0,0
1,282,0,0,0,0
1,283,1,1,0,0
1,284,1,0,0,0
1,285,0,0,1,0
1,286,1,0,0,0
1,287,1,0,0,0
1,288,1,0,0,0
1,289,1,0,1,0
1,290,1,1,0,0
1,291,0,1,0,1
1,292,0,0,0,1
1,293,0,1,1,0
1,294,1,1,0,0
1,295,1,0,0,1
1,296,1,0,0,1
1,297,1,1,0,0
1,298,1,1,0,0
1,299,0,0,0,1
1,300,0,0,0,1
1,301,1,0,0,1
1,302,0,1,0,1
1,303,0,0,0,1
1,304,1,0,1,0
1,305,1,1,0,0
1,306,1,0,1,0
1,307,0,0,1,0
1,308,0,0,1,0
1,309,1,1,0,0
1,310,0,1,1,0
1,311,1,1,0,0
1,312,1,1,0,0
1,313,1,0,0,0
1,314,1,1,0,0
1,315,0,1,1,0
1,316,0,1,0,1
1,317,0,0,0,0
1,318,0,0,0,0
1,319,1,0,1,0
1,320,1,1,1,0
2,1,0,0,0,0
2,2,0,0,1,0
2,3,0,1,1,0
2,4,0,0,1,0
2,5,0,1,1,0
2,6,1,0,1,0
2,7,1,1,1,0
2,8,0,0,0,0
2,9,0,1,1,0
2,10,0,0,0,0
2,11,0,0,0,0
2,12,1,1,1,0
2,13,1,1,0,1
2,14,0,0,0,0
2,15,0,0,0,1
2,16,0,0,1,0
2,17,0,0,0,1
2,18,0,0,0,1
2,19,1,0,0,0
2,20,1,0,0,0
2,21,1,0,0,0
2,22,1,0,1,0
2,23,1,0,0,0
2,24,1,1,0,0
2,25,1,0,0,0
2,26,1,0,0,0
2,27,1,0,0,0
2,28,1,0,1,0
2,29,1,0,1,1
2,30,1,0,0,0
2,31,1,0,0,0
2,32,1,0,0,0
2,33,0,0,0,0
2,34,0,1,0,0
2,35,0,0,0,0
2,36,1,1,0,0
2,37,0,0,0,0
2,38,0,1,0,0
2,39,0,1,0,0
2,40,0,1,0,0
2,41,0,1,0,0
2,42,0,1,0,0
2,43,0,1,0,0
2,44,0,0,0,0
2,45,0,1,0,0
2,46,0,0,0,0
2,47,0,0,0,0
2,48,0,0,0,0
2,49,0,1,0,0
2,50,0,1,0,0
2,51,0,1,0,0
2,52,0,1,0,0
2,53,0,1,0,0
2,54,0,1,0,0
2,55,0,1,0,0
2,56,0,1,0,0
2,57,0,1,0,0
2,58,0,1,0,0
2,59,0,1,0,0
2,60,1,1,0,0
2,61,1,1,0,0
2,62,1,1,0,0
2,63,1,1,0,0
2,64,1,1,0,0
2,65,1,1,0,0
2,66,1,1,0,0
2,67,0,0,0,0
2,68,1,1,0,0
2,69,1,1,0,0
2,70,1,1,0,0
2,71,1,1,0,0
2,72,1,1,0,0
2,73,1,1,0,0
2,74,1,1,0,0
2,75,1,1,0,0
2,76,1,1,0,0
2,77,1,1,0,0
2,78,1,1,0,0
2,79,1,1,0,0
2,80,1,1,0,0
2,81,1,1,0,0
2,82,1,1,0,0
2,83,1,1,0,0
2,84,1,1,0,0
2,85,1,1,0,0
2,86,1,1,0,0
2,87,1,1,0,0
2,88,1,1,0,0
2,89,1,1,0,0
2,90,1,1,0,0
2,91,0,1,1,0
2,92,0,1,1,0
2,93,1,1,0,0
