iSession,iTrial,neck_use,head_use,leg_use,tail_use
1,1,0,1,0,1
1,2,0,1,1,0
1,3,0,1,0,1
1,4,0,1,0,1
1,5,0,0,0,1
1,6,0,0,0,1
1,7,0,0,0,1
1,8,1,0,1,0
1,9,0,1,0,0
1,10,1,0,0,0
1,11,0,1,0,0
1,12,0,0,1,0
1,13,0,1,0,0
1,14,0,0,0,1
1,15,1,1,0,0
1,16,0,1,0,0
1,17,1,0,0,0
1,18,0,0,0,1
1,19,0,0,1,0
1,20,0,0,1,0
1,21,0,0,1,1
1,22,0,1,1,0
1,23,1,1,0,0
1,24,1,0,0,0
1,25,0,0,1,0
1,26,0,0,1,0
1,27,0,0,0,1
1,28,0,1,0,1
1,29,0,0,1,0
1,30,0,1,0,0
1,31,0,1,0,0
1,32,0,1,0,0
1,33,0,0,0,1
1,34,0,0,1,0
1,35,0,0,0,1
1,36,0,1,0,0
1,37,1,1,0,0
1,38,0,0,1,0
1,39,0,0,1,0
1,40,0,0,1,0
1,41,1,1,0,0
1,42,0,1,0,0
1,43,0,0,1,0
1,44,1,0,0,0
1,45,0,0,0,1
1,46,0,0,1,0
1,47,1,0,0,0
1,48,0,0,1,0
1,49,0,1,0,0
1,50,0,0,0,1
1,51,0,0,0,1
1,52,0,1,0,0
1,53,0,0,1,0
1,54,0,1,0,0
1,55,0,1,0,1
1,56,0,1,0,1
1,57,0,0,1,0
1,58,1,0,0,0
1,59,0,0,1,0
1,60,1,1,0,0
1,61,0,0,1,0
1,62,0,1,0,1
1,63,0,0,0,1
1,64,0,0,0,1
1,65,0,1,0,0
1,66,0,1,1,0
1,67,0,0,1,0
1,68,0,1,0,0
1,69,1,1,0,0
1,70,0,1,0,0
1,71,0,0,1,0
1,72,0,1,0,0
1,73,1,1,1,0
1,74,0,0,1,1
1,75,0,0,1,1
1,76,1,1,0,0
1,77,1,0,0,0
1,78,0,1,0,0
1,79,1,0,1,0
1,80,0,1,0,0
1,81,0,0,1,1
1,82,0,0,1,0
1,83,1,0,1,0
1,84,1,0,1,0
1,85,0,0,1,1
1,86,1,0,1,0
1,87,1,0,1,0
1,88,1,0,1,0
1,89,1,0,1,0
1,90,0,1,1,0
1,91,1,0,1,0
1,92,1,0,1,0
1,93,1,0,1,0
1,94,1,0,1,0
1,95,1,0,1,0
1,96,1,1,1,0
1,97,1,0,1,1
1,98,1,0,1,1
1,99,0,0,1,1
1,100,0,0,1,1
1,101,0,1,1,0
1,102,0,0,1,0
1,103,0,1,1,0
1,104,1,0,1,0
1,105,1,0,1,0
1,106,1,0,1,0
1,107,1,0,1,0
1,108,1,0,1,0
1,109,1,0,1,0
1,110,1,0,1,0
1,111,1,0,1,0
1,112,1,0,1,0
1,113,1,0,1,0
1,114,1,0,1,0
1,115,0,1,1,0
1,116,1,0,1,0
1,117,1,0,1,0
1,118,0,1,1,0
1,119,1,0,1,0
1,120,1,0,1,0
1,121,0,1,1,0
1,122,0,1,1,0
1,123,1,0,1,0
1,124,1,0,1,0
1,125,0,1,1,0
1,126,0,1,1,0
1,127,1,0,1,0
1,128,0,1,1,0
1,129,1,0,1,0
1,130,1,0,1,0
1,131,0,1,1,0
1,132,1,0,1,0
1,133,1,0,1,0
1,134,1,0,1,0
1,135,1,0,1,0
1,136,1,0,1,0
1,137,1,0,1,0
1,138,1,0,1,0
1,139,0,1,1,0
1,140,0,1,1,0
1,141,0,1,1,0
1,142,0,1,1,0
1,143,1,0,1,0
1,144,0,1,1,0
1,145,1,0,1,0
1,146,1,0,1,0
1,147,1,0,1,0
1,148,0,1,1,0
1,149,0,1,1,0
1,150,0,1,1,0
1,151,1,0,1,0
1,152,1,0,1,0
1,153,1,0,1,0
1,154,0,1,1,0
1,155,0,1,1,0
1,156,0,1,1,0
1,157,1,0,1,0
1,158,1,0,1,0
1,159,0,1,1,0
1,160,0,1,1,0
1,161,0,1,1,0
1,162,1,0,1,0
1,163,0,0,1,0
1,164,0,0,1,0
1,165,0,0,1,0
1,166,0,0,1,0
1,167,0,0,1,0
1,168,0,0,1,0
1,169,0,1,1,0
1,170,0,0,0,0
1,171,0,0,1,0
1,172,0,1,1,0
1,173,1,0,1,0
1,174,0,1,1,0
1,175,0,0,1,0
1,176,0,1,1,0
1,177,0,1,1,0
1,178,1,0,1,0
1,179,1,0,1,0
1,180,0,1,1,0
1,181,0,1,1,0
1,182,1,0,1,0
1,183,1,0,1,0
1,184,1,0,1,0
1,185,1,0,1,0
1,186,1,0,1,0
1,187,0,1,1,0
1,188,1,0,1,0
1,189,1,0,1,0
1,190,1,0,1,0
1,191,1,0,1,0
1,192,1,0,1,0
1,193,0,1,1,0
1,194,1,0,1,0
1,195,0,1,1,0
1,196,0,1,1,0
1,197,0,1,1,0
1,198,1,0,1,0
1,199,1,0,1,0
1,200,0,1,1,0
1,201,1,0,1,0
1,202,1,0,1,0
1,203,0,1,1,0
1,204,0,1,1,0
1,205,0,1,1,0
1,206,1,0,1,0
1,207,0,1,1,0
1,208,1,0,1,0
1,209,1,0,1,0
1,210,0,1,1,0
1,211,1,0,1,0
1,212,1,0,1,0
1,213,0,1,1,0
1,214,0,1,1,0
1,215,0,1,1,0
1,216,0,1,1,0
1,217,0,1,1,0
1,218,0,1,1,0
1,219,0,1,1,0
1,220,1,0,1,0
1,221,1,0,1,0
1,222,1,0,1,0
1,223,1,0,1,0
1,224,0,1,1,0
1,225,0,1,1,0
1,226,0,1,1,0
1,227,1,0,1,0
1,228,0,1,1,0
1,229,1,0,1,0
1,230,1,0,1,0
1,231,1,0,1,0
1,232,0,1,1,0
1,233,0,1,1,0
1,234,0,1,1,0
1,235,0,1,1,0
1,236,0,1,1,0
1,237,0,1,1,0
1,238,0,1,1,0
1,239,1,0,1,0
1,240,1,0,1,0
1,241,1,0,1,0
1,242,0,1,1,0
1,243,1,0,1,0
1,244,0,1,1,0
1,245,0,1,1,0
1,246,0,1,1,0
1,247,0,1,1,0
1,248,1,0,1,0
1,249,1,0,1,0
1,250,0,1,1,0
1,251,1,0,1,0
1,252,0,1,1,0
1,253,0,1,1,0
1,254,0,1,1,0
1,255,1,0,1,0
1,256,1,0,1,0
